q00000001_00: Resolutions and Omens                                                    | 覚悟と兆し
q60060002_00: Mysree Grove Trial: The Hungry Giant                                     | ミスリウ森林深部　試練：貪る巨鬼
q60070001_00: Deenan Woods Trial: The Stone Fowl in the Ruins                          | ディナン深層林　試練：遺跡に舞う石鶏
q60070002_00: Deenan Woods Trial: The White Scourge                                    | ディナン深層林　試練：白い災厄
q60080001_00: Betland Plains Trial: The Shadowy Survey Mission                         | バートランド平原　試練：ほの暗き調査任務
q60080002_00: Betland Plains Trial: Pursuing the Orc Company                           | バートランド平原　試練：オーク隊追撃任務
q60090001_00: Northern Betland Plains Trial: The Crypt's Shadow                        | バートランド平原北部　試練：納骨堂の影
q60090002_00: Northern Betland Plains Trial: The Rampaging War Dragon                  | バートランド平原北部　試練：暴走の軍竜
q60100001_00: Zandora Wastelands Trial: To Arms                                        | ザンドラ禁域　試練：目覚めし兵器
q60100002_00: Zandora Wastelands Trial: The Song for Death                             | ザンドラ禁域　試練：死を誘う歌
q60110001_00: Eastern Zandora Trial: The Scorching Menace                              | ザンドラ東部　試練：灼熱の脅威
q60110002_00: Eastern Zandora Trial: The Spectral Knight's Cursed Treasure             | ザンドラ東部　試練：亡霊騎士と呪いの秘宝
q60120001_00: Mergoda Ruins Trial: The Price of the Secret Arts                        | 亡都メルゴダ　試練：秘術の代償
q60120002_00: Mergoda Ruins Trial: The Secret Arts' Lost Progeny                       | 亡都メルゴダ　試練：秘術の落とし仔
q60200000_00: Living with the Partner Pawn                                             | パートナーポーンとの暮らし
q60200001_00: Skill Augmentation: Guidance of a Renewed White Dragon                   | 戦技の継承　新たなる白竜の導き
q60200002_00: Dangerous Footsteps                                                      | 魔の足音
q60200003_00: Signs of Chaos                                                           | 混沌の兆し
q60200004_00: Supreme Radiance                                                         | 至高の輝き
q60200005_00: Banging the Gates of the Clan Hall                                       | クラン拠点の門を叩いて
q60200006_00: The Treasure Lying in the Frontier 1                                     | 辺境に眠りし宝１
q60200007_00: The Treasure Lying in the Frontier 2                                     | 辺境に眠りし宝２
q60200008_00: The Treasure Lying in the Frontier 3                                     | 辺境に眠りし宝３
q60200009_00: The Treasure Lying in the Frontier 4                                     | 辺境に眠りし宝４
q60200010_00: The Stirring Ground                                                      | ざわめきし大地
q60200011_00: The Squirming Shadow                                                     | 蠢きし影
q60200012_00: The Treasure Sleeping in the Ark                                         | アークに眠りし宝
q60200013_00: Singing Praises of Success                                               | 歌い継がれし勇姿
q60200014_00: Road to Mastery                                                          | 道を極めんがため
q60200015_00: Light a Pumpkin Lantern?                                                 | パンプキンランタンが照らすのは？
q60200016_00: Light a Pumpkin Lantern?                                                 | パンプキンランタンが照らすのは？
q60200017_00: Path to Miracles (1)                                                     | 奇蹟者への道＜１＞
q60200018_00: Path to Miracles (2)                                                     | 奇蹟者への道＜２＞
q60200019_00: Path to Miracles (3)                                                     | 奇蹟者への道＜３＞
q60200020_00: With Great Desire to Gift (Upper)                                        | 贈り物に願いをこめて＜上＞
q60200021_00: With Great Desire to Gift (Lower)                                        | 贈り物に願いをこめて＜下＞
q60200022_00:                                                                          | クリスマスイベントNPCセット用
q60200024_00: Shape of Love for Someone (1)                                            | 想い人への愛の形＜１＞
q60200025_00: Shape of Love for Someone (2)                                            | 想い人への愛の形＜２＞
q60200026_00: Shape of Love for Someone                                                | 想い人への愛の形
q60200028_00: Heartfelt Gift Return                                                    | 心を込めたお返しを
q60200029_00: White Day Gift Return: Lise and Mayleaf                                  | ホワイトデーのお返し・リズとメイリーフ
q60200030_00: White Day Gift Return: Elliot and Gurdolin                               | ホワイトデーのお返し・エリオットとガルドリン
q60200031_00: White Day Gift Return: Klaus                                             | ホワイトデーのお返し・クラウス
q60200032_00: For White Day Set                                                        | ホワイトデーセット用
q60200033_00: Summer! Beach Festival (1)                                               | サマー！ビーチフェスティバル＜１＞
q60200034_00: Summer! Beach Festival (2)                                               | サマー！ビーチフェスティバル＜２＞
q60200050_00: Spirit Lancer Tactics Trial: A Spirit Lance                              | 霊槍の証　スピリットランサー戦術試練
q60200051_00: Seeking the Master: Spirit Lancer                                        | 求道の師を訪ねて　スピリットランサー
q60200100_00: Skill Augmentation: Fighter Trial I                                      | 戦技の継承　ファイター求道試練１
q60200101_00: Skill Augmentation: Fighter Trial II                                     | 戦技の継承　ファイター求道試練2
q60200102_00: Skill Augmentation: Fighter Trial III                                    | 戦技の継承　ファイター求道試練３
q60200103_00: Skill Augmentation: Fighter Trial IV                                     | 戦技の継承　ファイター求道試練４
q60200104_00: Skill Augmentation: Priest Trial I                                       | 戦技の継承　プリースト求道試練１
q60200105_00: Skill Augmentation: Priest Trial II                                      | 戦技の継承　プリースト求道試練2
q60200106_00: Skill Augmentation: Priest Trial III                                     | 戦技の継承　プリースト求道試練３
q60200107_00: Skill Augmentation: Priest Trial IV                                      | 戦技の継承　プリースト求道試練４
q60200108_00: Skill Augmentation: Hunter Trial I                                       | 戦技の継承　ハンター求道試練１
q60200109_00: Skill Augmentation: Hunter Trial II                                      | 戦技の継承　ハンター求道試練2
q60200110_00: Skill Augmentation: Hunter Trial III                                     | 戦技の継承　ハンター求道試練３
q60200111_00: Skill Augmentation: Hunter Trial IV                                      | 戦技の継承　ハンター求道試練４
q60200112_00: Skill Augmentation: Shield Sage Trial I                                  | 戦技の継承　シールドセージ求道試練１
q60200113_00: Skill Augmentation: Shield Sage Trial II                                 | 戦技の継承　シールドセージ求道試練2
q60200114_00: Skill Augmentation: Shield Sage Trial III                                | 戦技の継承　シールドセージ求道試練３
q60200115_00: Skill Augmentation: Shield Sage Trial IV                                 | 戦技の継承　シールドセージ求道試練４
q60200116_00: Skill Augmentation: Seeker Trial I                                       | 戦技の継承　シーカー求道試練１
q60200117_00: Skill Augmentation: Seeker Trial II                                      | 戦技の継承　シーカー求道試練2
q60200118_00: Skill Augmentation: Seeker Trial III                                     | 戦技の継承　シーカー求道試練３
q60200119_00: Skill Augmentation: Seeker Trial IV                                      | 戦技の継承　シーカー求道試練４
q60200120_00: Skill Augmentation: Sorcerer Trial I                                     | 戦技の継承　ソーサラー求道試練１
q60200121_00: Skill Augmentation: Sorcerer Trial II                                    | 戦技の継承　ソーサラー求道試練2
q60200122_00: Skill Augmentation: Sorcerer Trial III                                   | 戦技の継承　ソーサラー求道試練３
q60200123_00: Skill Augmentation: Sorcerer Trial IV                                    | 戦技の継承　ソーサラー求道試練４
q60200124_00: Skill Augmentation: Element Archer Trial I                               | 戦技の継承　エレメントアーチャ―求道試練１
q60200125_00: Skill Augmentation: Element Archer Trial II                              | 戦技の継承　エレメントアーチャ―求道試練2
q60200126_00: Skill Augmentation: Element Archer Trial III                             | 戦技の継承　エレメントアーチャ―求道試練３
q60200127_00: Skill Augmentation: Element Archer Trial IV                              | 戦技の継承　エレメントアーチャ―求道試練４
q60200128_00: Skill Augmentation: Warrior Trial I                                      | 戦技の継承　ウォリアー求道試練１
q60200129_00: Skill Augmentation: Warrior Trial II                                     | 戦技の継承　ウォリアー求道試練2
q60200130_00: Skill Augmentation: Warrior Trial III                                    | 戦技の継承　ウォリアー求道試練３
q60200131_00: Skill Augmentation: Warrior Trial IV                                     | 戦技の継承　ウォリアー求道試練４
q60200132_00: Skill Augmentation: Alchemist Trial I                                    | 戦技の継承　アルケミスト求道試練１
q60200133_00: Skill Augmentation: Alchemist Trial II                                   | 戦技の継承　アルケミスト求道試練2
q60200134_00: Skill Augmentation: Alchemist Trial III                                  | 戦技の継承　アルケミスト求道試練３
q60200135_00: Skill Augmentation: Alchemist Trial IV                                   | 戦技の継承　アルケミスト求道試練４
q60200136_00: Skill Augmentation: Spirit Lancer Trial I                                | 戦技の継承　スピリットランサー求道試練１
q60200137_00: Skill Augmentation: Spirit Lancer Trial II                               | 戦技の継承　スピリットランサー求道試練2
q60200138_00: Skill Augmentation: Spirit Lancer Trial III                              | 戦技の継承　スピリットランサー求道試練３
q60200139_00: Skill Augmentation: Spirit Lancer Trial IV                               | 戦技の継承　スピリットランサー求道試練４
q60200200_00: Who Is the Best?                                                         | 誰が一番？
q60200201_00: Story of Mayleaf and the Songbird                                        | メイリーフと小鳥の報せ
q60200202_00: Klaus and Joseph                                                         | クラウスとジョゼフ
q60200203_00: Leo's Legacy                                                             | レオの遺せし物
q60201000_00: Hidell Plains Trial: A Gush of Misfortune                                | ハイデル平原　試練：湧き出ずる災い
q60201001_00: Hidell Plains Trial: The Ark's Guardian                                  | ハイデル平原　試練：アークの守護者
q60202000_00: Breya Coast Trial: A Bright Blue Glow                                    | ブリア海岸　試練：蒼き燐光
q60202001_00: Breya Coast Trial: A Great White Thunder                                 | ブリア海岸　試練：轟く白き雷鳴
q60203000_00: Mysree Forest Trial: A Nightmare's Great Shadow                          | ミスリウ森林　試練：悪夢の巨影
q60203001_00: Mysree Forest Trial: The Malice of the Accursed                          | ミスリウ森林　試練：黒き呪縛の殺意
q60204000_00: Volden Mines Trial: A Forlorn Complaint                                  | ボルド鉱山　試練：漆黒に浮かぶ怨
q60204001_00: Volden Mines Trial: Spirits Aflame                                       | ボルド鉱山　試練：炎の蒸留源
q60205000_00: Dowe Valley Trial: The Cursed Grove                                      | ダウ渓谷　試練：石呪の木立
q60205001_00: Dowe Valley Trial: The Cries from the Bottom of the Well                 | ダウ渓谷　試練：井戸底からの呼び声
q60206000_00: Mysree Grove Trial: The Long-Forgotten Memory                            | ミスリウ森林深部　試練：忘れられた想い
q60206001_00: Mysree Grove Trial: The End of Oblivion                                  | ミスリウ森林深部　試練：忘我の果てに
q60207000_00: Deenan Woods Trial: Heretic Green                                        | ディナン深層林　試練：ヘレティックグリーン
q60207001_00: Deenan Woods Trial: A Roar of Absolute Zero                              | ディナン深層林　試練：絶対零度の咆哮
q60208000_00: Betland Plains Trial: The Crafty Stone Ones                              | バートランド平原　試練：狡猾な石刃
q60208001_00: Betland Plains Trial: Requiem for the Fallen Lady                        | バートランド平原　試練：亡き貴婦人へのレクイエム
q60209000_00: Northern Betland Plains Trial: The Turmoil in the Fort                   | バートランド平原北部　試練：砦の騒動
q60209001_00: Northern Betland Plains Trial: What Lurks in Wastewater                  | バートランド平原北部　試練：廃水廊に潜むもの
q60210000_00: Zandora Wastelands Trial: A Jet-Black Whirlwind                          | ザンドラ禁域　試練：漆黒のつむじ風
q60210001_00: Zandora Wastelands Trial: Cornerstone of the Crimson Cross               | ザンドラ禁域　試練：赤き十字架の礎
q60211000_00: Eastern Zandora Trial: The Hollow Visitors                               | ザンドラ東部　試練：虚ろの客人
q60211001_00: Eastern Zandora Trial: The Restless Ancestors                            | ザンドラ東部　試練：眠らずの始祖たち
q60212000_00: Mergoda Ruins Trial: The Fall of Salon                                   | 亡都メルゴダ　試練：破滅のサロン
q60212001_00: Mergoda Ruins Trial: The Frost Spirit Champion                           | 亡都メルゴダ　試練：凍てつく魂の標榜
q60213000_00: Bloodbane Isle Trial: A Strange Land's Temple                            | 魔赤島　試練：異郷の聖堂
q60213001_00: Bloodbane Isle Trial: A Frenzied Abomination                             | 魔赤島　試練：狂乱の異形
q60213002_00: Bloodbane Isle Trial: The Worn Twin Tusks                                | 魔赤島　試練：蝕まれゆく双牙
q60214000_00: Elan Water Grove Trial: The Howling from the Dark                        | エラン水林　試練：闇より響く遠吠え
q60214001_00: Elan Water Grove Trial: A Friend's Trail                                 | エラン水林　試練：友の足取り
q60214002_00: Elan Water Grove Trial: A Silvery Shadow Swoops                          | エラン水林　試練：舞い降りし銀影
q60214003_00: Elan Water Grove Trial: Green Delusions                                  | エラン水林　試練：緑の妄執
q60214004_00: Elan Water Grove Trial: Rampaging Green Tree                             | エラン水林　試練：荒れ狂う青樹
q60214006_00: Elan Water Grove Trial: Tidings of Turmoil                               | エラン水林　試練：無秩序なる訪れ
q60215000_00: Farana Plains Trial: The Old Ways                                        | ファーラナ平原　試練：過ぎし日の教えを
q60215001_00: Farana Plains Trial: The Honor Guards                                    | ファーラナ平原　試練：栄誉の守り番
q60215002_00: Farana Plains Trial: Approaching Echoes of Doom                          | ファーラナ平原　試練：響き来る滅亡
q60215003_00: Farana Plains Trial: Another Branch                                      | ファーラナ平原　試練：もう一つの枝
q60215004_00: Farana Plains Trial: Thundering Downfall                                 | ファーラナ平原　試練：轟鳴せし滅亡
q60215005_00: Farana Plains Trial: The Shadow on the opposite Shore                    | ファーラナ平原　試練：対岸に揺らぐ影
q60215006_00: Farana Plains Trial: The Mystery of the Red Light                        | ファーラナ平原　試練：赤き妖光の謎
q60216000_00: Morrow Forest Trial: Flocking Apprehension                               | モロー樹林　試練：群れ、蔓延する不安
q60216001_00: Morrow Forest Trial: For Our Altered Kin                                 | モロー樹林　試練：変わり果てた同胞に宛てて
q60216002_00: Morrow Forest Trial: An Impending Massacre                               | モロー樹林　試練：明日を屠る暴虐
q60216003_00: Morrow Forest Trial: Traces of Tribulation                               | モロー樹林　試練：苦難のきざし
q60216004_00: Morrow Forest Trial: Flight of Sorrow                                    | モロー樹林　試練：悲哀の羽ばたき
q60217000_00: Kingal Canyon Trial: Dancing Shadows on the Water                        | キンガル峡谷　試練：水面を舞う影
q60217001_00: Kingal Canyon Trial: Proof of Atrocities                                 | キンガル峡谷　試練：悪逆の証明
q60217002_00: Kingal Canyon Trial: Behind the Closed Doors                             | キンガル峡谷　試練：閉ざされし扉の向こう
q60217003_00: Kingal Canyon Trial: Memories of Desertion                               | キンガル峡谷　試練：置き去りの記憶
q60217004_00: Kingal Canyon Trial: A Desired Transformation                            | キンガル峡谷　試練：望まれし変革
q60300000_00: Extend Garden                                                            | ガーデン・エクステンド
q60300001_00: Strange Creature Investigation                                           | 奇妙な魔物探索
q60300002_00: Custom-Made Workshop 1: Searcher's Return                                | カスタムメイド工房１　探求者の帰還
q60300003_00: Custom-Made Workshop 2: Limit Break                                      | カスタムメイド工房２　リミット解除
q60300004_00: Custom-Made Workshop 3: Ultimate Arms Synthesis                          | カスタムメイド工房３　武具極限合成
q60300010_00: Mysterious Summoning Bell                                                | 不思議な呼び鈴
q60300011_00: Shining Within a Loyal Heart                                             | 忠心の内に輝くもの
q60300020_00: To the Heroic Spirit Sleeping Path: Rathnite District                    | 英霊眠りし道へ　ラスニテ地方
q60300021_00: To the Heroic Spirit Sleeping Path: Feryana District                     | 英霊眠りし道へ　フェルヤナ地方
q60300022_00: To the Heroic Spirit Sleeping Path: Megadosys District                   | 英霊眠りし道へ　メガドシス地方
q60300023_00: To the Heroic Spirit Sleeping Path: Urteca District                      | 英霊眠りし道へ　ウルテカ地方
q60300030_00: Save the Royal Family Cook                                               | 王家を救いし料理番
q60300031_00: Rescue the Genius Commander                                              | 奪還を指揮せし異才者
q60300032_00: Expose the Dark Side to the One Operating behind the Scenes              | 暗部を暴きし暗躍者
q60300040_00: Restored Medal of the Royal Family I                                     | 王家再興の褒章１
q60300041_00: Restored Medal of the Royal Family II                                    | 王家再興の褒章２
q60300042_00: Restored Medal of the Royal Family III                                   | 王家再興の褒章３
q60300043_00: Restored Medal of the Royal Family IV                                    | 王家再興の褒章４
q60300044_00: The High Scepter's Heir                                                  | ハイセプターを継ぎし者
q60300047_00: To the Bitterblack Maze                                                  | 黒呪の迷宮へ
q60300050_00: Daily Cooking: Thines - Cooking Supply                                   | 【調理日課】ティネス　調理支給
q60300051_00: Daily Cooking: Rosguill - Cooking Trip                                   | 【調理日課】ロスギル　出張調理
q60300052_00: Daily Cooking: Piremoth - Babysitting Brats                              | 【調理日課】ピレモス　悪童保護
q60300060_00: Daily Council: Lookout Castle - Instructions for Duty                    | 【参謀日課】展望城　任務指示
q60300061_00: Daily Council: Mefite - Research Materials                               | 【参謀日課】メフィテ　弱点研究
q60300062_00: Daily Council: Bandit Hideout - Collect Information                      | 【参謀日課】盗賊アジト　情報収集
q60300100_00: Adventure Spot Guide: Rathnite Foothills I                               | 冒険スポットの手引き：ラスニテ山麓１
q60300101_00: Adventure Spot Guide: Rathnite Foothills II                              | 冒険スポットの手引き：ラスニテ山麓２
q60300102_00: Adventure Spot Guide: Rathnite Foothills III                             | 冒険スポットの手引き：ラスニテ山麓３
q60300103_00: Adventure Spot Guide: Rathnite Foothills IV                              | 冒険スポットの手引き：ラスニテ山麓４
q60300104_00: Adventure Spot Guide: Feryana Wilderness I                               | 冒険スポットの手引き：フェルヤナ荒原１
q60300105_00: Adventure Spot Guide: Feryana Wilderness II                              | 冒険スポットの手引き：フェルヤナ荒原２
q60300106_00: Adventure Spot Guide: Feryana Wilderness III                             | 冒険スポットの手引き：フェルヤナ荒原３
q60300107_00: Adventure Spot Guide: Megadosys Plateau I                                | 冒険スポットの手引き：メガドシス高地1
q60300108_00: Adventure Spot Guide: Megadosys Plateau II                               | 冒険スポットの手引き：メガドシス高地2
q60300109_00: Adventure Spot Guide: Megadosys Plateau III                              | 冒険スポットの手引き：メガドシス高地3
q60300110_00: Adventure Spot Guide: Urteca Mountains I                                 | 冒険スポットの手引き：ウルテカ山岳1
q60300111_00: Adventure Spot Guide: Urteca Mountains II                                | 冒険スポットの手引き：ウルテカ山岳2
q60300112_00: Adventure Spot Guide: Urteca Mountains III                               | 冒険スポットの手引き：ウルテカ山岳3
q60300200_00: Crown and Scepter I                                                      | 王冠と王笏＜１＞
q60300201_00: Crown and Scepter II                                                     | 王冠と王笏＜２＞
q60300202_00: Crown and Scepter III                                                    | 王冠と王笏＜３＞
q60300203_00: Crown and Scepter IV                                                     | 王冠と王笏＜４＞
q60300300_00: Where Is Gurdolin!?                                                      | ガルドリンはどこだ！？
q60300301_00: Where Is Gurdolin!?                                                      | ガルドリンはどこだ！？
q60300302_00: Where Is Gurdolin!?                                                      | ガルドリンはどこだ！？
q60300303_00: Where Is Gurdolin!?                                                      | ガルドリンはどこだ！？
q60300400_00: High Scepter Tactics Trial: A Magick Sword                               | 魔剣の証　ハイセプター戦術試練
q60300401_00: Seeking the Master: High Scepter                                         | 求道の師を訪ねて　ハイセプター
q60300402_00: Vocation Emblem Trial: Fighter                                           | ジョブエンブレム試練　ファイター
q60300403_00: Vocation Emblem Trial: Priest                                            | ジョブエンブレム試練　プリースト
q60300404_00: Vocation Emblem Trial: Hunter                                            | ジョブエンブレム試練　ハンター
q60300405_00: Vocation Emblem Trial: Shield Sage                                       | ジョブエンブレム試練　シールドセージ
q60300406_00: Vocation Emblem Trial: Seeker                                            | ジョブエンブレム試練　シーカー
q60300407_00: Vocation Emblem Trial: Sorcerer                                          | ジョブエンブレム試練　ソーサラー
q60300408_00: Vocation Emblem Trial: Element Archer                                    | ジョブエンブレム試練　エレメントアーチャー
q60300409_00: Vocation Emblem Trial: Warrior                                           | ジョブエンブレム試練　ウォリアー
q60300410_00: Vocation Emblem Trial: Alchemist                                         | ジョブエンブレム試練　アルケミスト
q60300411_00: Vocation Emblem Trial: Spirit Lancer                                     | ジョブエンブレム試練　スピリットランサー
q60300412_00: Vocation Emblem Trial: High Scepter                                      | ジョブエンブレム試練　ハイセプター
q60300413_00: The Emblem Stone's Whereabouts                                           | エンブレムストーンの行方
q60300500_00: Skill Augmentation: Fire Dragon Trial I                                  | 戦技の継承　火竜求道試練１
q60300520_00: Skill Augmentation: Fire Dragon Trial II                                 | 戦技の継承　火竜求道試練２
q60301000_00: The Darkness of Halloween                                                | ハロウィンの闇
q60301002_00: Wish on a Shooting Star I                                                | 不思議な流れ星とみんなの願い＜１＞
q60301003_00: Wish on a Shooting Star II                                               | 不思議な流れ星とみんなの願い＜２＞
q60301004_00: Wish on a Shooting Star III                                              | 不思議な流れ星とみんなの願い＜３＞
q60301005_00: Wish on a Shooting Star IV                                               | 不思議な流れ星とみんなの願い＜４＞
q60301006_00:                                                                          | クリスマス2017　（準備用）
q60301021_00: How Glamorous, How Gorgeous                                              | 艶やか、かつ華やか
q60301022_00: The Only One in My Thoughts (For Men)                                    | ただ一つの想い＜For Men＞
q60301030_00: The Only One in My Thoughts (For Women)                                  | ただ一つの想い＜For Women＞
q60301041_00: A Gift for You, My Love (1)                                              | 愛し君のための贈り物＜１＞
q60301042_00: A Gift for You, My Love (2)                                              | 愛し君のための贈り物＜２＞
q60301052_00: Emergency! Not Enough Candy! (1)                                         | 緊急！　お菓子が足りない！＜１＞
q60301053_00: Emergency! Not Enough Candy! (2)                                         | 事件？　お菓子が足りない！＜２＞
q60301055_00: A Merry Christmas Spreading Cheer (1)                                    | 笑顔振りまくメリークリスマス＜１＞
q60301056_00: A Merry Christmas Spreading Cheer (2)                                    | 笑顔振りまくメリークリスマス＜２＞
q60310000_00: Ghost Wail Collection: Suddenly a Different World                        | 【鬼哭蒐集】異世界は突然に
q60310001_00: Ghost Wail Collection: Quest of Overlord                                 | 【鬼哭蒐集】クエストオブオーバーロード
q60310002_00: Ghost Wail Collection: For Overlord Collaboration Set                    | 【鬼哭蒐集】オバロコラボセット用
q60318000_00: Rathnite Foothills Trial: Recover Prisoners of War                       | ラスニテ山麓　試練：捕虜奪還
q60318001_00: Rathnite Foothills: Rescue Request                                       | ラスニテ山麓　救援要請
q60318002_00: Rathnite Foothills: Liberation Army Support                              | ラスニテ山麓　解放軍支援
q60318003_00: Rathnite Foothills: Defeat Enemy Pursuit                                 | ラスニテ山麓　敵追跡討伐
q60318004_00: Rathnite Foothills: Prevent Enemy Attack                                 | ラスニテ山麓　敵襲撃阻止
q60318010_00: Rathnite Foothills Trial: Detect the Demon Army's Attack                 | ラスニテ山麓　試練：魔軍襲撃探知
q60318011_00: Demon Army Tank Catoblepas                                               | 魔軍戦車カトブレパス
q60319000_00: Feryana Wilderness Trial: Support the Provision Forces                   | フェルヤナ荒原　試練：調達部隊支援
q60319001_00: Feryana Wilderness: Defeat Enemy Pursuit                                 | フェルヤナ荒原　敵追跡討伐
q60319002_00: Feryana Wilderness: Liberation Army Support                              | フェルヤナ荒原　解放軍支援
q60319003_00: Feryana Wilderness: Rescue Request                                       | フェルヤナ荒原　救援要請
q60319004_00: Feryana Wilderness: Prevent Enemy Attack                                 | フェルヤナ荒原　敵襲撃阻止
q60319010_00: Feryana Wilderness Trial: Investigate Sealed Evil                        | フェルヤナ荒原　試練：魔の封印捜査
q60319011_00: Into the Ancient Darkness                                                | 古代の闇の中へ
q60320000_00: Megadosys Plateau Trial: Material Procurement                            | メガドシス高地　試練：資材調達
q60320001_00: Megadosys Plateau: Rescue Request                                        | メガドシス高地　救援要請
q60320002_00: Megadosys Plateau: Liberation Army Support                               | メガドシス高地　解放軍支援
q60320003_00: Megadosys Plateau: Defeat Enemy Pursuit                                  | メガドシス高地　敵追跡討伐
q60320004_00: Megadosys Plateau: Prevent Enemy Attack                                  | メガドシス高地　敵襲撃阻止
q60320010_00: Megadosys Plateau Trial: Shadow of Heresy                                | メガドシス高地　試練：異端の影
q60320011_00: The Ruler Overwhelmed by Power                                           | 力に呑まれし王者
q60320013_00: Berserk: In the Flow of Causality...                                     | 【ベルセルク】因果の流れの中に――
q60321000_00: Urteca Mountains Trial: Territory of the Ancestors                       | ウルテカ山岳　試練：原種の縄張り
q60321001_00: Urteca Mountains Trial: The Scarred Cavern                               | ウルテカ山岳　試練：痛刻の洞
q60321002_00: Urteca Mountains Trial: Quiet Battlefield of the Resistance              | ウルテカ山岳　試練：静かな抗戦跡
q60321003_00: Urteca Mountains Trial: Primitive Settlement                             | ウルテカ山岳　試練：原初の集落
q60321004_00: Urteca Mountains Trial: Construction Materials Collection Spot           | ウルテカ山岳　試練：建設資材集積場
q60321010_00: Urteca Mountains Trial: A Trickle in the Darkness                        | ウルテカ山岳　試練：闇の滴り
q60321011_00: Magick Called to the Deepest Depths                                      | 彼方より堕ち呼ばれし魔道
q60340000_00: All Your Feelings in One Glance I                                        | 一目ごとに想いを込めて＜１＞
q60340001_00: All Your Feelings in One Glance II                                       | 一目ごとに想いを込めて＜２＞
q60340002_00: A Letter to You, My Beloved I                                            | 麗しの君へ綴る文＜１＞
q60340003_00: A Letter to You, My Beloved II                                           | 麗しの君へ綴る文＜２＞
q60350000_00: Strange Happening at Guardknock Fortress                                 | ガルドノック砦の異変
q60350001_00: Aiming for the Temple                                                    | 神殿を狙うは――
q60350002_00: To The One Who Will Become the Next Dragon                               | 次代の竜となる者へ
q61000000_00: Information on Wild Hunt                                                 | ワイルドハントのご案内
q61000001_00: Arms With the Power of the Dragon I                                      | 竜の力を帯びた武具＜１＞
q61000002_00: Arms With the Power of the Dragon II                                     | 竜の力を帯びた武具＜２＞
q61000003_00: Unlocking Dragon Skills                                                  | 竜スキル解放PQ③
q61000004_00: Information on Bitterblack Maze Abyss                                    | 黒呪の迷宮　深淵への案内
q61000005_00: Unending Darkness                                                        | 途絶えぬ闇
q80200000_00: Elementary Vegetable Dish                                                | 野菜料理初級編
q80200001_00: Elementary Mushroom Dish                                                 | キノコ料理初級編
q80200002_00: Elementary Meat Dish                                                     | 肉料理初級編
q80200003_00: Intermediate Vegetable Dish                                              | 野菜料理中級編
q80200004_00: Intermediate Mushroom Dish                                               | キノコ料理中級編
q80200005_00: Intermediate Meat Dish                                                   | 肉料理中級編
q80201000_00: Labor Appreciation Day                                                   | 駐労感謝の日
q80201001_00: Gate of Origin                                                           | 始まりの扉
q80201002_00: Forbidden Splash!                                                        | 禁断のスプラッシュ！
q80201003_00: Nameless Gravestone                                                      | 名も無き墓標
q80201004_00: Blue Sky Camp                                                            | 青空キャンプ
q80201005_00: Mysterious Shape                                                         | 不思議なかたち
q80201006_00: Blue Heavenly Tree                                                       | 蒼き神樹
q80201007_00: Gate of Paradise                                                         | 楽園の扉
q80201008_00: A Straight Sharp Spear                                                   | 端正なる鋭槍
q80201009_00: Lush Lake Shore                                                          | 湖畔の涼地
q80201010_00: A Visit to the Sage's Grave                                              | 賢者の墓参り
q80201011_00: A Bookworm?                                                              | 本の虫？
q80201012_00: Unyielding Watchman                                                      | 動かぬ番人
q80201013_00: The Solemn Spring                                                        | 厳かなる泉
q80201014_00: Thinking of You                                                          | 君を想う
q80201015_00: What Is Being Photographed?                                              | 写っているのは――？
q80201016_00: Paying Respects Again                                                    | 改めて敬意を
q80201017_00: A Troublesome Right Arm                                                  | 悩める右腕
q80201018_00: Recruiting Already?                                                      | 青田買い？
q80201019_00: The Hidden Chamber                                                       | 秘密の部屋
q80201020_00: The Light of Defense                                                     | 堅守の灯火
q80201021_00: Engulfed in Phosphorescence                                              | 燐光に包まれて
q80201022_00: Traces of Old Customs                                                    | 遺風残香
q80201023_00: Courtesy Visit                                                           | ご機嫌を伺いに
q80201024_00: A Soothing Hot Bath                                                      | 和みの湯
q80201025_00: Shining Junk                                                             | 光るガラクタ
q80201026_00: A Luxurious Hideout                                                      | 豪奢な隠れ家
q80201027_00: View from the Old Castle                                                 | 古城の眺望
q80201028_00: Won't Intrude                                                            | お邪魔はしません
q80201029_00: Seeking the Strange Inias                                                | イニアスの猟奇
q80201030_00: Poaching Elimination Strategy                                            | 密猟駆逐作戦
q80201031_00: The Lovely Archer                                                        | 可憐なる射手
q80201032_00: A Secluded Hot Spring                                                    | 秘境の温泉
q80201033_00: Magnificent Traditions                                                   | 華麗な遺風
q80201034_00: The Temple on the Lake                                                   | 湖畔の神殿
q80201035_00: The Splendid Soldier                                                     | 華麗なる戦士
q80201036_00: The Fort's Authority                                                     | 砦の威光
q80201037_00: The Solid Fortress                                                       | 堅牢の砦
q80201038_00: Gods Stand in One's Path                                                 | 立ち塞がるは仁王
q80201039_00: Unmade Bedding                                                           | 万年床
q80201040_00: Bright Red Orb                                                           | 赤々しき球
q80201041_00: Lighthouse Requiem                                                       | 灯台鎮魂歌
q80201042_00: Strange Undead Dragon                                                    | 奇妙な屍竜
q80201043_00: Secret Great Luck                                                        | 秘めし豪運
q80201044_00: A Certain Alchemy Laboratory                                             | とある錬金実験室
q80201045_00: Dragon Falls                                                             | ドラゴンフォール
