Identifier,Source string,Translation,Context,Labels,Max. length
,"アーク調査の報告書がまだだというのに
古文書の解読まで――","The ARC survey report is not ready yet.
Even the deciphering of ancient documents--","
ui\00_message\npc\base\n0003.gmd",,
,"でも、君が持ち帰った古文書は面白そうで――
まずいな――ジョゼフ様に叱られるよ","But that old document you brought back looks interesting--
That's not good--Master Joseph will scold me!","
ui\00_message\npc\base\n0003.gmd",,
,"イリスとは話したかい？
なんだか避けられているような気が
しないでもないんだけど――","Have you talked to Iris?
I have a feeling he's been avoiding me
, but--","
ui\00_message\npc\base\n0003.gmd",,
,"もしかしたら、僕が覚者の力に
なれるのかもしれないな――","Maybe I can be the one to help
","
ui\00_message\npc\base\n0003.gmd",,
,"いささか――怖いね
でも、ほら、白竜様がお待ちだよ","It's somewhat--scary.
But, you see, the White Dragon is waiting for you.","
ui\00_message\npc\base\n0003.gmd",,
,"どうだい？
覚者の生活には慣れたかな？","How are you doing?
Are you getting used to the life of the enlightened?","
ui\00_message\npc\base\n0003.gmd",,
,"ちょうど君が覚者になった頃からこれまでとは
少し違う事件が起こるようになってきた
オークの活動が活発になったり――
ほら、アークの出現もそうだね","Just about the time you became an enlightened person, things started happening
a little differently than they have in the past,
orc activity increased--
and, you know, the appearance of the Ark.","
ui\00_message\npc\base\n0003.gmd",,
,"そして、白竜様の回復を促す新しい方法も
見つかったみたいだ
これからも、もっと色々なことが
起こりそうな気がするよ","And it looks like we've found a new way
to help Master Hakuryu recover
I have a feeling more things are going to happen
in the future!","
ui\00_message\npc\base\n0003.gmd",,
,"メイリーフを連れ出したフードの女って
やっぱり彼女だよな――","The woman in the hood who took Mayleaf out is
I knew it was her--","
ui\00_message\npc\base\n0003.gmd",,
,"ディアマンテス――
イリスは確かにそう言ってたよね？","Diamantes--
Iris sure said that, didn't she?","
ui\00_message\npc\base\n0003.gmd",,
,"あははは――
こんなに神殿の近くが戦場になるなんて――
ああ、怖かった","Ha ha ha--
I never thought such a close proximity to the temple would be a battlefield--
Oh, it was scary!","
ui\00_message\npc\base\n0003.gmd",,
,"さびしいね――
仲良くなれそうな気がしたんだけど――
いや、仲良かったよね――","Rusty--
I thought we could get along--
No, we got along--","
ui\00_message\npc\base\n0003.gmd",,
,"命は白竜様の役に立ったとしても
キースヒルトが知っていた知識、知恵――
全部消えてしまった","Even if the life was useful to Master White Dragon,
the knowledge, the wisdom that Keith Hilt knew--
it's all gone.","
ui\00_message\npc\base\n0003.gmd",,
,"やっぱり僕は生きているキースヒルトと
もっと話したかったよ――","I knew I wanted to talk more with Keith Hilt, who is still alive and
--","
ui\00_message\npc\base\n0003.gmd",,
,"会議だなんて――
これは時間がかかるよ","I can't believe we're having a meeting--
This is going to take a while.","
ui\00_message\npc\base\n0003.gmd",,
,"そんなことしている場合じゃないと思うけど
時間をもらえるのはありがたいことだから
僕は僕で独自に調べようと思っている","I don't think I have time for that, but
I'm grateful for the time you give me
I'm going to do my own independent research on my own.","
ui\00_message\npc\base\n0003.gmd",,
,"まだ読み切れていない古文書もあるし
ここまで実際に体験したことを
評価し直す必要があるかもしれない","There are some ancient documents that I haven't read through yet
and I may need to re-evaluate
what I've actually experienced so far.","
ui\00_message\npc\base\n0003.gmd",,
,"僕も調査に行きたいんだよね――
でもここで騒ぐと余計に面倒な立場に
なってしまいそうだから我慢しているんだ","I want to go investigate too--
but I'm holding back because making a fuss here might put me in an even more troublesome position
","
ui\00_message\npc\base\n0003.gmd",,
,"おかしいよ――
第一のアークの調査は僕が担当したんだ","Funny--
I was in charge of investigating the first arc.","
ui\00_message\npc\base\n0003.gmd",,
,"今度の調査だって僕が行けば前回との
比較ができたのに――
意見も全然聞いてもらえないし――はぁ","Even the upcoming survey could have been
compared to the last one if I had been there--
and they didn't listen to my opinion at all-- haha!","
ui\00_message\npc\base\n0003.gmd",,
,"僕は確かに錬金術師の末裔さ
でも、だからなんだと言うんだろうね","I am indeed descended from an alchemist
but so what?","
ui\00_message\npc\base\n0003.gmd",,
,"僕のことはジョゼフ様が一番よく知っている
はずなのに――","You know me best, Mr. Joseph.
should know me best...","
ui\00_message\npc\base\n0003.gmd",,
,"気づいていたのに――
イリスは少し変わったなって
気づいていたんだ","I had noticed--
that Iris had changed a little
","
ui\00_message\npc\base\n0003.gmd",,
,"それなのに僕は――
悔やんでも悔やみきれないよ","And yet I--
can't regret it enough!","
ui\00_message\npc\base\n0003.gmd",,
,"僕はね――もう後悔はしたくない
予兆には気づいていたのに――
遠慮する必要は何もなかったのに――","I don't--I don't want to have any more regrets
even though I was aware of the signs--
even though I didn't have to hold back-- even though I didn't have anything to hold back--","
ui\00_message\npc\base\n0003.gmd",,
,"もう友達をなくすのは絶対に嫌だから
思ったことは口にするつもりだよ","I'm definitely not going to lose any more friends, so
I'm going to say what I think.","
ui\00_message\npc\base\n0003.gmd",,
,"ここでジッとしてはいられない
僕もメルゴダへ行く！　絶対行く！","I can't sit here
I'm going to Melgoda too!　I'm definitely going!","
ui\00_message\npc\base\n0003.gmd",,
,"ディアマンテスに対抗する錬金術師が
ちゃんといたことがうれしくてね","I'm just glad that there was an alchemist
properly to counter Diamantes.","
ui\00_message\npc\base\n0003.gmd",,
,"だから僕は、こっち側の人たちと神殿の
架け橋になろうと思うんだ","So I'm trying to be a
bridge between the people on this side and the temple.","
ui\00_message\npc\base\n0003.gmd",,
,"君も協力してくれるよね？
もう結構長い付き合いだもの――
僕に野心がないことなんてわかってるだろ？","You'll help me, won't you?
We've known each other for quite a while now--
You know I have no ambition, right?","
ui\00_message\npc\base\n0003.gmd",,
,時は来た――だね,The time has come--right?,"
ui\00_message\npc\base\n0003.gmd",,
,"ずっと考えているんだけど――
ディアマンテスは僕が跡を継ぎたがるって
本気で考えたのかな――","I keep thinking--
that Diamantes wants me to follow in his footsteps.
Did he really think--?","
ui\00_message\npc\base\n0003.gmd",,
,"だとしたら、哀れだね
出会ったばかりの僕しか後継者候補は
いないのか――ってさ","If so, it's pathetic
I just met you and I'm the only potential successor
","
ui\00_message\npc\base\n0003.gmd",,
,"嵐の中を出かけていった騎士たちには
頭が下がるよ","I bow down to the knights who went out in the storm at
","
ui\00_message\npc\base\n0003.gmd",,
,"次は覚者の番だね
くれぐれも、気をつけて","I guess it's the waker's turn next.
Take care, take care.","
ui\00_message\npc\base\n0003.gmd",,
,"悪いね
ついついレオのことを考えてしまうんだ
こんな時にどうして留守なんだってね","Sorry
I can't stop thinking about Leo
why he's away at a time like this.","
ui\00_message\npc\base\n0003.gmd",,
,"他の人も思いは同じだと思うよ
つまり――
僕が言いたいのは、レオの後任は大変だけど
頑張ってくれってことさ","I'm sure others have the same thoughts.
I mean--
I mean-- I know it's tough to replace Leo, but I just want to say
good luck!","
ui\00_message\npc\base\n0003.gmd",,
,"問題は、君とガルドリンが行ったという
島の場所だね","The problem is the location of the
island you and Galdrin say you went to.","
ui\00_message\npc\base\n0003.gmd",,
,"レスタニア中の海図がこの神殿に
集まることになっているんだ
船乗りたちと一緒に、その海図とにらめっこさ","The charts of all of Lestania are to be gathered in this temple

and I'll be staring at them with the sailors.","
ui\00_message\npc\base\n0003.gmd",,
,"大海原に浮かぶ島を見つけるなんて
そう簡単じゃない","It's not so easy to find an island in the ocean
","
ui\00_message\npc\base\n0003.gmd",,
,"覚悟はしていたけどね――
いやいや、挫けてなるものか！","I was prepared for this --
No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no!","
ui\00_message\npc\base\n0003.gmd",,
,"島が見つかってホッとしているよ
肩の荷が下りたというかね
ここだけの話――
ジョゼフ様は僕を試しているね","I'm relieved to have found the island
It's a weight off my shoulders
Between you and me--
Master Joseph is testing me.","
ui\00_message\npc\base\n0003.gmd",,
,"将来の神官にふさわしいかどうか――
ノドから手が出るほど欲しい地位だったけど
今はどうかな――","I don't know if I'm worthy of being a future priest--
It was a position I wanted with my hands in my throats, but
I don't know if I want it now--","
ui\00_message\npc\base\n0003.gmd",,
,"逐次攻略というか各個撃破というか
物事はひとつずつ解決するのが良策だと
主張する人もいるけどね――","I'm not sure if it's a sequential strategy or individual attacks.
Some people argue that it's a good idea to solve things one at a time.
Some people argue that it's a good idea to solve things one at a time-- but I'm not sure that it's a good idea.","
ui\00_message\npc\base\n0003.gmd",,
,"僕は混乱の中で解決を模索するのが好きなんだ
つまり、この慌ただしさも僕の味方さ","I like to seek solutions in the midst of chaos
I mean, this flurry of activity is on my side too.","
ui\00_message\npc\base\n0003.gmd",,
,"島の調査は引き続きやっているよ
いい報告ができればいいんだけど
少々魔物が多くてね","We're still working on the island survey
Hopefully we'll have a good report
It's been a little demonic.","
ui\00_message\npc\base\n0003.gmd",,
,"騎士団が時々掃討作戦を展開しているから
まあ、気長にね――
ああ気長！　僕たちの苦手なやつだよね
くう――","Because the Knights sometimes conduct sweeps
Well, be patient--
Oh, patient!　We're not very good at that.
Kuu--","
ui\00_message\npc\base\n0003.gmd",,
,"レオが匿っているという人と話せれば
もっと色々と分かるのだろうけど
今はそれよりも侵食魔退治だね
まったく、次から次へと――","If I could talk to the person Leo says he's hiding
I'm sure I'd know a lot more, but
Right now it's more about killing the invaders
Indeed, one thing after another--","
ui\00_message\npc\base\n0003.gmd",,
,"例の島をね、もっとよく調べようと思うんだ
戦いは一段落ついたのかもしれないけど
調査は何も終わってないからね","I'm going to look into that island more closely.
The fight may be over, but
the investigation is anything but over.","
ui\00_message\npc\base\n0003.gmd",,
,"僕も島に乗り込みたいと思っていたけど
まだ時期尚早のようだね
もう少し状況が落ち着くのを待つよ","I was hoping to get on the island too
but it looks like it's too early to tell
I'll wait for things to calm down a bit more.","
ui\00_message\npc\base\n0003.gmd",,
,"島に現れた魔物はこれまでの侵食魔とは
かなり様子が違うとか？","I hear that the demons that appeared on the island are very different from the previous invasive demons
?","
ui\00_message\npc\base\n0003.gmd",,
,"黒騎士と魔物の関係という観点から見ると
新手の方が、より黒騎士に近い存在という
ことかなあ","In terms of the relationship between the black knight and the demon
I guess that means that the new hand is closer to the black knight
","
ui\00_message\npc\base\n0003.gmd",,
,"ロイグが早くよくなることを祈るよ
まあ、ロイグのためというよりは
かなり利己的な理由だけどね","I hope Roig gets better soon
Well, not so much for Roig's sake
but for pretty selfish reasons.","
ui\00_message\npc\base\n0003.gmd",,
,"あやふやとはいえ、ロイグの方が色々と
覚えているからね
その情報だけでも、ありがたいと思わなくちゃ","Even though it's iffy, I remember a lot more
than Roig does.
I should be thankful for that information alone!","
ui\00_message\npc\base\n0003.gmd",,
,"セシリーは深手を負っている
致命傷がなければ命は助かるだろうけど
回復には長い時間がかかるよ","Cecily is deeply wounded
and if she's not fatally injured, she'll probably live.
It's going to take her a long time to recover.","
ui\00_message\npc\base\n0003.gmd",,
,まあ、今は生きのびてくれることを祈ろう,"Well, let's hope he survives for now.","
ui\00_message\npc\base\n0003.gmd",,
,"悔しいなあ
僕には知らないことがいっぱいある
それを思い知らされて――
ああ、悔しいよ","It's frustrating
There's so much I don't know
I'm reminded of that--
Oh, it's frustrating!","
ui\00_message\npc\base\n0003.gmd",,
,"僕は君たちの一歩先のことを考えるとしよう
それが僕の仕事だよね？","Let's say I'm one step ahead of you guys
That's my job, right?","
ui\00_message\npc\base\n0003.gmd",,
,"あのゲートはフィンダムの竜の力が
生み出したものだ
僕らの心意気だけじゃどうにもならないよ","That gate is a product of Findom's dragon power

Our spirit alone won't help.","
ui\00_message\npc\base\n0003.gmd",,
,"ゲートの継続性について
もう少し確信が得られないと
僕は向こうへは行けないな","On gate continuity
I need to be a little more sure
I can't go over there.","
ui\00_message\npc\base\n0003.gmd",,
,覚者じゃないこの身が恨めしいよ,I hate myself for not being an enlightened person.,"
ui\00_message\npc\base\n0003.gmd",,
,"ジョゼフ様の話を聞いていると
まるで僕たちがフィンダムへの侵略者のように
思えてくるよ","Listening to Master Joseph,
makes it sound like we're the invaders of Findom
","
ui\00_message\npc\base\n0003.gmd",,
,"向こうとこっち――
立場は五分と五分――この考え方が
平和共存への道に繋がると思うんだ","The other side and this side--
stand 50-50--this way of thinking will lead us to
peaceful coexistence.","
ui\00_message\npc\base\n0003.gmd",,
,"よく考えると、このレスタニアでも
竜の不調は続いているわけだよね","If you think about it, even here in Restania,
the dragon's malfunction is still going on.","
ui\00_message\npc\base\n0003.gmd",,
,"となると、レスタニアの混乱がこの程度で
済んでいるのは、とてつもなく運が
いいのかもしれないね","So maybe we're incredibly lucky
that this is the extent of the mess
in Restania!","
ui\00_message\npc\base\n0003.gmd",,
,"フィンダムを竜力が巡る仕組みは
こっちとは少し違うようだね","The mechanism of how dragon power travels around Findum is a little different than over here at
","
ui\00_message\npc\base\n0003.gmd",,
,"竜と樹が循環と浄化を分け合っているというか――
竜への異存が少ないということなのかなあ","I wonder if the dragon and the tree are sharing the circulation and purification, or--
I wonder if it means that there is less objection to the dragon.","
ui\00_message\npc\base\n0003.gmd",,
,"聞くところによると、セシリーのお父さんは
戦士でもなんでもない、普通の人らしいね","From what I hear, Cecily's dad is
not a warrior or anything, just a regular guy.","
ui\00_message\npc\base\n0003.gmd",,
,"君だって、不安だろう？
早いところ、行った方がいいよ","You're worried, too, aren't you?
You'd better get there as soon as possible.","
ui\00_message\npc\base\n0003.gmd",,
,"さあ、みんなが待ってるよ？
君がなんとかしてくれる――
そう思っている連中も多いはずさ","Come on, the guys are waiting for you, okay?
You'll handle it--
I'm sure a lot of them think so.","
ui\00_message\npc\base\n0003.gmd",,
,"ロイグはガラダ族長たちのことを
快く思っていなかった
いや、逆恨みしていたという感じかな？","Loig was not
comfortable with the Galada chiefs
or was it more like he resented them?","
ui\00_message\npc\base\n0003.gmd",,
,"その心の暗い部分に黒騎士が
入り込んだ――か","The black knight has entered
into that dark part of your mind--or so it seems.","
ui\00_message\npc\base\n0003.gmd",,
,"それにしてもあのロイグがね――
心根のいい奴に思えたけどなあ
僕の人を見る目もまだまだだね","But then again, that Roig--
seemed like a good guy with a good heart.
I guess I'm still a bit of a judge of character.","
ui\00_message\npc\base\n0003.gmd",,
,"回り道はあったけど、いよいよだね
良い報告を待っているよ","There was a detour, but now it's time.
I'll be waiting for a good report.","
ui\00_message\npc\base\n0003.gmd",,
,"浄化は始まっているんだろう？
進捗状況が気になるところだね","I assume the cleanup has begun?
I'm curious to see the progress.","
ui\00_message\npc\base\n0003.gmd",,
,"くれぐれも気をつけてくれよ
無事にここへ戻って来ると約束してほしい
君たちは歴史の証言者なんだからね","Take care of yourself.
Promise me you'll come back here safe and sound.
You are witnesses to history.","
ui\00_message\npc\base\n0003.gmd",,
,"これからフィンダムへの渡航者が増えるだろうね
もちろん僕も準備を進めているんだ","I'm sure more and more people will be traveling to Findom in the future.
Of course I'm getting ready to do the same.","
ui\00_message\npc\base\n0003.gmd",,
,"覚者が一緒じゃないと戻ってこられないから
君たち、その時はよろしくたのむよ","I can't come back without a savant with me, so
You guys, I'll look forward to working with you then.","
ui\00_message\npc\base\n0003.gmd",,
,"フィンダムで起こったことを記録して
後世に残そうと思っているんだけど――","I'm trying to document what happened in Findom for posterity at
--","
ui\00_message\npc\base\n0003.gmd",,
,また何か起こりそうな気配だね,Looks like something else is about to happen.,"
ui\00_message\npc\base\n0003.gmd",,
,"アッカーシェランか
自然環境はこっちとほぼ同じなんだね
つまり、理と竜の世界ということか","Acker Sheran.
The natural environment is almost the same as here.
So it's a world of reason and dragons.","
ui\00_message\npc\base\n0003.gmd",,
,"アッカーシェランの状況は良くないみたいだけど
それでも君たちはレスタニアの代表なんだ","I know the situation in Ackercheran doesn't look good
but still, you guys represent Lestania.","
ui\00_message\npc\base\n0003.gmd",,
,可能な限り、いい顔でたのむよ,I'll try to look as good as possible.,"
ui\00_message\npc\base\n0003.gmd",,
,とにもかくにも今はネド王子だね,"Anyway, you're Prince Ned now.","
ui\00_message\npc\base\n0003.gmd",,
,"解放軍はここに来てずいぶん敵を
刺激したからね
反撃は覚悟しないと","The Liberation Army has provoked the enemy
enough to come here.
We must be prepared for a counterattack.","
ui\00_message\npc\base\n0003.gmd",,
,"盗賊と言えば荒くれ者と相場が決まっている
本拠地に乗り込むんだから
言動には気をつけて","Thieves are quoted as being rough and tumble.
You're going to be riding into the main base.
Be careful what you say and do.","
ui\00_message\npc\base\n0003.gmd",,
,ガルドリンには特に強く言っておかないと,I have to say this especially strongly for Gardolyn.,"
ui\00_message\npc\base\n0003.gmd",,
,"盗賊の次はオークの本拠地だって？
君たちはそっちの方が慣れているかな","After the bandits, now the orcs have their own stronghold?
I wonder if you guys are more used to that.","
ui\00_message\npc\base\n0003.gmd",,
,"ネド王子と解放軍が合流したんだ
敵の警戒も厳しくなるだろうね","Prince Ned and the Liberation Army have joined forces.
I'm sure the enemy will be very vigilant.","
ui\00_message\npc\base\n0003.gmd",,
,"アッカーシェランで“悪しき竜”との
全面戦争が始まるのかな","I wonder if the
all-out war against the ""evil dragon"" will start in Acker Sheran.","
ui\00_message\npc\base\n0003.gmd",,
,"アッカーシェランとも、フィンダムのような
友好的な関係になれるといいね","I hope you can be as
friendly with Acker Sheran as you are with Findom.","
ui\00_message\npc\base\n0003.gmd",,
,"アッカーシェランに灯った希望の火を
消してはいけないよ","Don't let
extinguish the fire of hope lit in Acker Sheran!","
ui\00_message\npc\base\n0003.gmd",,
,"君たち自身も希望なんだ
それを忘れないでくれ","You are your own hope.
Don't forget that.","
ui\00_message\npc\base\n0003.gmd",,
,"ひとつだけわかったのは――
“悪しき竜”はすぐに君たちを亡き者に
するつもりはないということ","One thing I do know--
the ""evil dragon"" isn't going to make you guys dead
anytime soon!","
ui\00_message\npc\base\n0003.gmd",,
,これは悪くない事だと思うよ,I think this isn't a bad thing.,"
ui\00_message\npc\base\n0003.gmd",,
,"今のジョゼフ様は猜疑心の塊だよ
何を言い出しても驚かないことだね","Now Master Joseph is a sceptic.
Don't be surprised what he says.","
ui\00_message\npc\base\n0003.gmd",,
,"今のジョゼフ様は猜疑心の塊だよ
何を言い出しても驚かないことだね","Now Master Joseph is a sceptic.
Don't be surprised what he says.","
ui\00_message\npc\base\n0003.gmd",,
,本格的な城攻めを前にしての休暇かな？,Is this a vacation before a full-scale castle siege?,"
ui\00_message\npc\base\n0003.gmd",,
,"レスタニアは平和なものさ
気分転換に散歩でもどうだい？","Lestania is a peaceful place.
How about a walk for a change?","
ui\00_message\npc\base\n0003.gmd",,
,"奪回した城を拠点に力を蓄えて
“悪しき竜”の討伐を目指すのだよね？","We will use the castle we have taken as a base to build up our strength and
aim to defeat the ""evil dragon"", right?","
ui\00_message\npc\base\n0003.gmd",,
,"道のりはまだまだありそうだから
じっくり行かないとね","There's still a ways to go, so
we'll have to take our time.","
ui\00_message\npc\base\n0003.gmd",,
,"今朝、ぶつけて爪が欠けてしまってね
嫌な予感がするんだ","I bumped it this morning and chipped a nail.
I have a bad feeling about this.","
ui\00_message\npc\base\n0003.gmd",,
,"謎の騎士の話題で持ちきりだね
正体はどうあれ、強敵に違いないから
万事準備怠りなく、だよ？","There's a lot of talk about the mysterious knight.
Whatever his identity, he must be a formidable foe, so
be prepared for anything, okay?","
ui\00_message\npc\base\n0003.gmd",,
,"王都の戦いが終わらないと
落ち着かないよね","I'm not going to
calm down until the battle for King's Landing is over.","
ui\00_message\npc\base\n0003.gmd",,
,"今は解放軍と一緒に王都奪回の戦いに
専念するのがいいと思うよ","I think it's a good idea to concentrate
on the battle to retake King's Landing with the Liberation Army for now.","
ui\00_message\npc\base\n0003.gmd",,
,"考え得る対策を書きだして
とにかく吟味する","Write down possible measures and
examine them anyway.","
ui\00_message\npc\base\n0003.gmd",,
,"そして、良さそうなのがあれば
君たちにも伝えるからね","And if it looks good, I'll tell you guys at
","
ui\00_message\npc\base\n0003.gmd",,
,"あれこれ書物に当たっているけど
こんな危機はかつてなくて
白竜様と僕たちが初めてのようだ","I've been hitting the books on this and that
but there's never been a crisis like this
and it looks like we're the first, Mr. White Dragon and us.","
ui\00_message\npc\base\n0003.gmd",,
,"頼むよ――
黒騎士の剣を取り戻して","Please--
bring back the Black Knight's sword.","
ui\00_message\npc\base\n0003.gmd",,
,さあ、急いで,"Come on, hurry up.","
ui\00_message\npc\base\n0003.gmd",,
,"君たちを助けるセシリーの竜力は
あくまでも仮初めの力
そう長くは続かないと思うよ","Cecily's dragon power to help you guys
is only temporary
I don't think it will last that long.","
ui\00_message\npc\base\n0003.gmd",,
,"レスタニアの命運は尽きる寸前だった――
あはは――今になって脚が震えるよ","Lestania's fate was on the verge of running out--
Haha--now I'm shaking in my legs!","
ui\00_message\npc\base\n0003.gmd",,
,"ネド王子はたしかにまだ子供だけど
聞く限り、無茶はしない印象だよ","Prince Ned is indeed still a child, but from what I've
heard, I get the impression he's not reckless.","
ui\00_message\npc\base\n0003.gmd",,
,"姿を消したとなると、何か深い事情が
あるんだろうね
解決可能なことだといいけど――","If he's disappeared, there must be something deeper at

I hope it's something that's solvable--I'm sure it's not.","
ui\00_message\npc\base\n0003.gmd",,
,"ジョゼフ様がまたなんか言ってるだろ？
人を疑うのが性分なんだね","Master Joseph is saying something again, isn't he?
It's in your nature to doubt people, isn't it?","
ui\00_message\npc\base\n0003.gmd",,
,"これは王子なりによく考えた末の
行動だと思うよ
そうじゃないと、君たちから聞いていた
王子の印象と合わないからね","I think this is a well thought out
action in the prince's own way
otherwise it wouldn't fit the
impression I've heard from you guys of the prince.","
ui\00_message\npc\base\n0003.gmd",,
,王子には何か目的があるのだろうけど――,"I'm sure the prince has a purpose, but--","
ui\00_message\npc\base\n0003.gmd",,
,"その目的を果たしたあとは
どんな顔をして仲間のところへ戻る気で
いるんだろうね
あまり考えていないのかな","I wonder what
you're going to look like
once you've served that purpose and are ready to go back to your friends
I wonder if you're thinking about it too much.","
ui\00_message\npc\base\n0003.gmd",,
,火垂れ山は“悪しき竜”の住み処だよね,"Mt. Hidareyama is the home of the ""evil dragon.""","
ui\00_message\npc\base\n0003.gmd",,
,"いつ襲撃されてもおかしくないから
四方八方、気を抜かないようにね","You could be attacked at any time, so
stay on your toes on all sides.","
ui\00_message\npc\base\n0003.gmd",,
,行ったり来たり、ご苦労だね,"Back and forth, back and forth... I'm sorry you're having a hard time.","
ui\00_message\npc\base\n0003.gmd",,
,"以前はうらやましいと思ったけど
最近は――ああ、僕も歳を取ったのかな","I used to be envious of you
but lately--oh, I must be getting old.","
ui\00_message\npc\base\n0003.gmd",,
,"早くアッカーシェランへ向かった方がいいよ
状況は王子の動き次第で変わるんだから","You'd better head to Acker Sheran as soon as possible.
The situation depends on the prince's moves.","
ui\00_message\npc\base\n0003.gmd",,
,"“悪しき竜”は力だけを与えられた子供――
そんなふうに考えられないかな？","The ""bad dragon"" is a child who has been given only power -
Can't you think of it that way?","
ui\00_message\npc\base\n0003.gmd",,
,"力だけで知識も経験も与えられなかったから
釣り合いが取れなくて――
いやいや、問題はそこじゃないか！","Because I was given only power and no knowledge or experience
I couldn't balance--
No, no, no, no, that's not the problem!","
ui\00_message\npc\base\n0003.gmd",,
,"誰が与えたか――与えなかったのか――
考えるべきなのは背後にいたのは
誰かって話だよね","Who gave -- or didn't give --
What we should be thinking about is who was behind
","
ui\00_message\npc\base\n0003.gmd",,
,何か心配事でも？,What's worrying you?,"
ui\00_message\npc\base\n0004.gmd",,
,"気になることがあるのなら
さっさと解決しておくことを薦めるよ","If you've got something on your mind, I suggest you go to
and get it sorted out quickly.","
ui\00_message\npc\base\n0004.gmd",,
,"おまえたち覚者の力こそ
我々に残された希望だ","The power of you sentient beings is the only hope we have left
","
ui\00_message\npc\base\n0004.gmd",,
,"ふむ、年かな――
話したいことがあったはずだが、忘れてしまったよ","Hmm, I guess I'm old--
I'm sure there was something I wanted to tell you, but I forgot!","
ui\00_message\npc\base\n0004.gmd",,
,"白竜の意思を完全に理解することは難しい
たとえ巫女でもな","It's hard to fully understand the will of the white dragon
even if you're a priestess.","
ui\00_message\npc\base\n0004.gmd",,
,"我々は常に己を律し、不測の事態に備えねばならん
わかってはいるが――なかなか、なぁ","We must always discipline ourselves and be prepared for the unexpected.
I know - but it's not easy.","
ui\00_message\npc\base\n0004.gmd",,
,"覚者よ、頼んだぞ
おまえたちの働きが大勢を決める","I'm asking you, wise men.
Your work will determine the outcome.","
ui\00_message\npc\base\n0004.gmd",,
,"竜の意志を紡ぐこと
それが我らを災いから救うのだ","Weaving the will of the dragon
that will save us from disaster.","
ui\00_message\npc\base\n0004.gmd",,
,"どうした、不安なことがあるのか？
まず、おまえたちが落ち着かなくては","What's the matter? Are you worried about something?
First of all, you need to calm down.","
ui\00_message\npc\base\n0004.gmd",,
,"悠々と、ただそこにある世界を前に――
我々はなんと小さく、稚拙な存在なのだろうな","In the face of a world that is just there, leisurely--
What a small, poor existence we are!","
ui\00_message\npc\base\n0004.gmd",,
,"わしほどの激動を生きた神官はいないだろうが
はて、喜ぶべきか嘆くべきか――","No priest has lived through as much upheaval as I have.
But, should I rejoice or mourn--?","
ui\00_message\npc\base\n0004.gmd",,
,"日がな一日ここに立ち、竜を思い、政を思う
おまえたちを思う時間はほとんどないが、まあ許せ","I stand here all day long, thinking about dragons and politics
I don't have much time to think about you guys, but forgive me.","
ui\00_message\npc\base\n0004.gmd",,
,理の外の世界――,The world outside of reason--,"
ui\00_message\npc\base\n0004.gmd",,
,"そんな世界があるとして、そこでは
どんな道理がはたらくのか――想像もつかんわ","If there is such a world,
I can't imagine what kind of reasoning would work there--I can't imagine it!","
ui\00_message\npc\base\n0004.gmd",,
,"ああ、すまない
考えごとをしていてな","Yeah, sorry,
I've been doing some thinking.","
ui\00_message\npc\base\n0004.gmd",,
,"オーク臭いようだな
神殿では気をつけた方がいい","Sounds like you smell like orc.
You better watch out in the temple.","
ui\00_message\npc\base\n0004.gmd",,
,時間を見つけて外へ出てみるんだな,You've got to find time to get out there.,"
ui\00_message\npc\base\n0004.gmd",,
,"覚者を育てるのは、結局のところ経験だ
いや、これは覚者に限らないがな","It's experience, after all, that makes a savant
No, this isn't limited to savants.","
ui\00_message\npc\base\n0004.gmd",,
,"近々、ある調査団を派遣することになってな
その人選で、いささか多忙だ","I'm sending a survey team soon
and I'm somewhat busy with the selection process.","
ui\00_message\npc\base\n0004.gmd",,
,"ポーンとの契約は進んでいるか？
終わればいよいよ一人前の覚者だな","How's the deal with the pawns coming along?
When you're done, you'll be a full-fledged enlightened man.","
ui\00_message\npc\base\n0004.gmd",,
,"ふむ――
順調に覚者としての階段を登っているようだな
頼もしいことだ","Hmmm--
You seem to be climbing the steps to being a savant
I'm encouraged by that.","
ui\00_message\npc\base\n0004.gmd",,
,砦との往復は何度目だ？,How many times have you been to the fort and back?,"
ui\00_message\npc\base\n0004.gmd",,
,"砦に限らず、あちこち自分の足で
行ってみることが大切だ
地図を眺めていても頭に入らんだろうからな","It's important to go there
with your own feet, not only to the fort
because you won't get it in your head by looking at a map.","
ui\00_message\npc\base\n0004.gmd",,
,"次から次へと――どうしてくれようか
オークどもの対処だけでも大変なのに
今度はアークだと？","One after another--what are we to do?
It's hard enough just dealing with the orcs
And now ARC?","
ui\00_message\npc\base\n0004.gmd",,
,"おまえも忙しくなるだろうから休める時には
休んでおくことだ","You'll be busy too, so when you can take a break,
take it.","
ui\00_message\npc\base\n0004.gmd",,
,"メイリーフの正体は他言無用
約束だからな","Don't tell anyone else who Mayleaf is.
I promise.","
ui\00_message\npc\base\n0004.gmd",,
,"どこかへ行っていたのか？
ふむ――これは隠し事の臭いだな","Where have you been?
Hmmm--this smells like something hidden.","
ui\00_message\npc\base\n0004.gmd",,
,イリスは本当に大丈夫なのか？,Is Iris really okay?,"
ui\00_message\npc\base\n0004.gmd",,
,"覚者のことは覚者に任せるしかない
よく見ていてやるんだぞ","We'll just have to let the savants take care of the savants.
We'll watch them closely.","
ui\00_message\npc\base\n0004.gmd",,
