"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"Burly Spike",,,バリースパイク,,
"Faith Robe",,,フェイスローブ,,
"It seems that Mysial has gone for a walk with one of the Arisen. There was a time when I as young boy, walked with her. We spent our time watching the lovers who were teasing the bazaar, without knowing any clever destinations.

At the grand assembly, the review of ancient documents continues. Is this the calm before the storm? It is my hope that no storms will occur.",,,"　ミシアルが覚者のひとりと散歩に出たようだ。かつ
て少年だったわたしも彼女と歩いたことがある
　気の利いた行き先など知るはずもなく、バザーをひ
やかす恋人たちを眺めて過ごしたものだ
　大会議では古文書の査読が続いている。嵐の前の静
けさとはこのことだろうか。願わくは、嵐など起こら
ないことを",,
"The Demon of Darkness Awakens (Final Reward)",,,目覚めし闇の魔物《最終報酬》,,
"Puppet - Mikasa",,,パペット・ミカサ,,
"Puppet Crusher I",,,パペットクラッシャーⅠ,,
"Burn this polished technique into your body!",,,磨き上げたこの妙技、その身に焼き付けろ！,,
"It seems that a dragon from Phindym attacked the Arisen. If it had only attacked the Arisen here, it might not be completely incomprehensible, but it seems that Cecily was also targeted.
What on earth could this mean? If Cecily, who had just returned from Lestania, lost her qualifications as the successor for that very reason, it is not a pleasant story for us.

However, we must not jump to conclusions. Let us hope for the safety of Gurdolin and Loeg, who were separated from the Arisen due to the dragon's a",,,"　フィンダムの竜が覚者たちを襲ったらしい。襲われ
たのがこちらの覚者だけならわからないでもないが、
セシリーも一緒に標的にされたそうだ
　いったいどういうことだろうか。レスタニア帰りの
セシリーが、まさにそのことが理由で後継者としての
資格を失ってしまったとすれば、我々にとって愉快な
話ではない
　しかし、予断は禁物だ。覚者たちの続報を持つこと
にして、竜の攻撃ではぐれてしまったというガルドリ
ンとロイグの無事を祈りたい",,
"The Demon of Darkness Awakens (Management)",,,目覚めし闇の魔物（管理）,,
"Faith Sabatons",,,フェイスサバトン,,
"The Demon of Darkness Awakens (Result Reward)",,,目覚めし闇の魔物《リザルト報酬》,,
"Faithful Follower",,,従者の信頼,,
"Puppet Crusher II",,,パペットクラッシャーⅡ,,
"It seems that applying the power of healing can temporarily suppress the strange tentacles' power.",,,"癒しの力を当てることで
あの奇妙な触手の威力を
一定時間抑えることができるようなのです",,
"Burned Ent",,,バーンドエント,,
"Burning Magma Lump",,,燃え滾るマグマ塊,,
"Faithful Waistguard",,,帰依の腰布,,
"Puppet Crusher III",,,パペットクラッシャーⅢ,,
"It seems that the Arisen have finally begun to interact with the residents of the foreign land, Phindym. Gurdolin has safely joined them, and the search for Loeg will be taken over by the local residents.

As expected, the cause of this incident that involved Lestania is the corruption of the ""Core Tree"". The only consolation is that Cecily's father, Gearóid, is taking action to resolve the problem. Of course, there is no reason for us to hesitate in offering our cooperation.",,,"　覚者たちはついに異郷フィンダムの住民たちとの交
流を始めたようだ。ガルドリンは無事に合流し、ロイ
グの捜索は現地の住民たちに引き継がれることとなっ
た
　案の定という言い方は不遜ではあるが、レスタニア
が巻きこまれたこの変事の原因は、やはり“芯なる
樹”が侵食されたことにあるようだ
　せめてもの救いは、問題解決のためにセシリーの父
ガラダが動きだしていることだ。もちろん我々が協力
を惜しむ道理はない",,
"The Devastator",,,壊滅させるもの,,
"It seems that the corruption of the ""Morrow Forest"" has gotten
serious. Although the treatment of corruption is somehow possible, I do not know
what has initially caused it to form...
It's best that I don't take anything from here.",,,"本当にこのモロー樹林の侵食は、深刻なようです
侵食の治療はなんとか可能であるものの
根本的な原因が何か判明していない以上――
かからないに越したことはありません",,
"The Door Sealed by the Royal Family",,,王家により封印されている扉,,
Bushwackers,,,ブッシュワッカー,,
"Puppet Type",,,パペットの種類,,
Falcata,,,ファルカタ,,
"It seems that the evil Dragon Army has conquered the Dacreim Fortress. The area is occupied by orcs and large monsters, turning it into a battlefield where cannonballs rain mercilessly. First, we need to devise a plan to infiltrate the fortress and turn the tide of the battle. Suppress the evil Dragon Army's counterattack and weaken their forces, then defeat the Beast Master lurking in the depths of the fortress to reclaim it.",,,"ダクレイム砦を悪しき竜軍が征服したようだ
場内はオークや大型の魔物で各エリアが占領され
大砲の弾が容赦なく降り注ぐ戦闘地帯となっている
まずは砦内へ進攻する手段を企て、戦況を好転させよ
悪しき竜軍側の反撃を抑え戦力を削り、砦最奥に潜む
獣の将を討伐して砦を奪還するのだ",,
"Purchase History",,,獲得履歴,,
"The Dragon Awakened",,," 呼び覚まされし竜",,
"Falcon Kick",,,隼落とし,,
"Business Rivals",,," 商売仇",,
"Purchase Information",,,情報購入,,
"It seems that the evil dragon army has conquered Jifule Fortress. The drawbridge for entering the fortress is raised, making it difficult to proceed inside. Furthermore, summoners constantly summon enemies, turning it into a nest of corpses. The summoners have set amulets throughout the fortress, and dealing with these traps accurately is essential to capturing the fortress.",,,"ジフール砦を悪しき竜軍が征服したようだ
砦へ入るための跳ね橋は吊り上げられ内部へ
進入することも難しい――更に、召喚士による
魔物の召喚が絶えず行われ骸の巣窟と化している
召喚士は砦中に呪符を仕掛けており、砦を攻め
落とすにはこれら罠への正確な対処が不可欠だ",,
"Buster Knuckles",,,バスターナックル,,
Falk,,,ファルク,,
"The Dragon Awakened (Final Reward)",,,呼び覚まされし竜《最終報酬》,,
"Bustier Dress (Black)",,,ビスチェドレス【黒】,,
Fall,,,転ぶ,,
"It seems that the evil dragon army has conquered Jifule Fortress. The drawbridge for entering the fortress is raised, making it difficult to proceed inside. Summoners continuously summon monsters, hindering the enemy's suppression. While the path to the summoners is blocked, dealing with the runes scattered throughout the fortress is likely the key to capturing it.",,,"ジフール砦を悪しき竜軍が征服したようだ
砦へ入るための跳ね橋は吊り上げられ
内部へ進入することも難しい――召喚士による魔物の
召喚が絶えず行われており敵軍の征圧を阻害してくる
召喚士への道は塞がれているが、砦内に点在する
呪符への対処が砦攻略の鍵となるだろう",,
"Purchase Price",,,購入額,,
"The Dragon Awakened (Result Reward)",,,呼び覚まされし竜《リザルト報酬》,,
"It seems to be caught on something.",,,何かが引っ掛かって開かない,,
"The Dragon Force is becoming more intense!",,,竜力の波動が激しさを増している――！,,
"Bustier Dress (Deep Red)",,,ビスチェドレス【紅】,,
"Purchase Requirements",,,購入条件,,
"Fall Move",,,フォル・ムーヴ,,
"Fall Thrust",,,フォル・スラスト,,
"Bustier Dress (Purple)",,,ビスチェドレス【紫】,,
"It seems to have a design similar to a gate.
It makes you feel slightly strange...",,,"門のような意匠がある
わずかに不思議な気配を感じる――",,
"Purchase a Beast-Steak from the Material Shop",,,素材屋を探し＜ケモノ生肉＞1個を入手する,,
"The Dragon is with us!",,,我らが竜とともに！,,
"Bustier Dress (White)",,,ビスチェドレス【白】,,
"It seems to have lost the power to teleport...",,,今は転移の力を失っているようだ――,,
"Fallen Soldier Stone",,,卒倒の特質錬石,,
"The Dread Ape, known as the ""Howler Ape,"" has taken over the abandoned house as its territory. 
The surroundings of the abandoned house are littered with the remains of devoured animals, making it both terrifying and extremely foul-smelling.",,,"注意すべきドレッドエイプ、《唸り猿》が
縄張りにしている廃屋
廃屋の周囲は食い散らかされた動物の残骸が
散乱しており、恐ろしい上非常に臭い――",,
"Purchase of golden stones currently not available",,,現在黄金石の購入を利用することができません,,
"It seems, it seems down! Let's go!",,,ダ、ダウンしたみたいです！　いきましょう！,,
"Fallen Soldier Stone Shard",,,卒倒の特質錬石の欠片,,
"Purchase requirements have not been met.",,,購入条件が満たされていません,,
"The Dreadful Passage ",,," 恐ろしき道",,
Busy,,,取り込み中,,
"It turned out solid!",,,着実にやってくれた！,,
"Purchase the designated item from the Online Shop for free.",,,オンラインショップで指定の商品を無料購入する,,
"Fallen Truth",,,フォールントゥルース,,
"But good luck!",,,が、頑張って！,,
"The Dull Grey Ark",,," 鈍色のアーク",,
"It turned out that a very precious substance called a Primeval Drop was needed to restore the core tree. Brave Gearóid and a group of volunteers managed to acquire it, but an incident occurred where they were attacked and the drops were taken by someone.
I heard that Gearóid was seriously injured in the attack, and three others who were with him lost their lives. Judging by their wounds, it seems that they were attacked by enemies, but I wonder if those enemies were the ones who took the Primeval Drops.

We",,," フィンダムの芯なる樹の回復には、原始の雫と呼ば
れる大変に貴重な物質が必要であることが判明し、勇
敢なるガラダと有志たちが入手したのだが、何者かに
襲われて奪取されるという事件が発生した
　襲撃でガラダは重傷を負い、同行の三名は命を落と
したと聞く。傷から見て、彼らを襲ったのは魔物らし
いが、はて、原始の雫を持ち去ったのもその魔物だろ
うか
　ガラダの回復が待たれる",,
Purchased,,,購入分,,
"The Dwellers of the Golden Land",,," 黄金郷の住人",,
"But, if you could choose me as a support pawn?
-- I will do my best!",,,"も、もしサポートポーンに選んでいただけたら？
――が、頑張ります！",,
"Falling Slash",,,昇墜斬,,
"It used to function as a small hub of human habitation, but threatened by the invading demons, the residents chose to abandon their land and flee, and now it is only a place where demons roam.",,,"以前は人が暮らす小さな拠点として機能していたが
侵食魔に脅かされた住人たちは土地を捨てて
逃げることを選び、現在は魔物が闊歩するのみ
となっている",,
"Purchased <VAL>",,,<VAL>の解放,,
"The Echoing Roars in the Tunnel",,," 坑道に響く咆哮",,
"Falling Slash: Absorption",,,"昇墜 吸",,
"But, is this really the right way to use it; making money?
Perhaps by gathering more, something useful might be made from it.",,,"しかし、金にするのが本当に正しい用途なのか？
もっと集めることで、何か作り出せるのかもしれない",,
"Purchased <VAL>
It'll be visible next time you visit the Clan Hall.",,,"<VAL>を購入しました
次回、クラン拠点へ訪れた時に反映されます",,
"The Eliminator",,,排除する者,,
"Falling Slash: Slayer",,,"昇墜 倒",,
"It was a dangerous place...
Even a simple Cyclops, already troublesome due to its sturdiness,
was demonstrating an unexpected strength when corrupted by these strange
organisms.",,,"危ない所だった――
ただでさえ怪力で厄介なサイクロプスが
侵食によって、およそ生物とは
思えない力を発揮していた",,
"Button 1",,,1ボタン,,
"It was a good assist!",,,いいアシストだった！,,
"The Emblem Stone's Whereabouts ",,," エンブレムストーンの行方",,
"Purchased Pawn Expedition Corps",,,ポーン遠征隊を解放しました,,
"Button 2",,,2ボタン,,
"False Remains",,,いつわりの遺構,,
"Button 3",,,3ボタン,,
"Purchasing World Quest Information",,,ワールドクエストの情報購入,,
"The Embodiment of Magic",,,魔導の体現者,,
"The Entrusted Future ",,," 託された未来",,
"It was a so-so kind of work",,,まぁまぁの働きぶりだった,,
Pure,,,ピュア,,
"Button 4",,,4ボタン,,
"False Remains Inner Depths",,,"いつわりの遺構 深層部",,
"Button 5",,,5ボタン,,
"Pure Black Jade",,,純黒翡翠,,
"It was an easy win!",,,楽勝でしたね！,,
"The Entrusted One",,," 託されし者",,
"False Remains: Armory",,,"いつわりの遺構 武器庫",,
"It was an honor to accompany you on this trip as well!",,,今回の旅も、お供できて光栄でした！,,
"Button 6",,,6ボタン,,
"The Epitaph Road",,,エピタフロード,,
"Pure Pawn",,,ポーン会話用ピュア,,
"Button 7",,,7ボタン,,
"Pure White Mane",,,純白のタテガミ,,
"The Epitaph Road ""Heroic Spirit Sleeping Path: Feryana Wilderness"" Cleared!",,,"エピタフロード《英霊眠りし道 フェルヤナ荒原》攻略！",,
"It was fun!",,,楽しかった！,,
"It was good work!",,,良い働きだった！,,
"False Remains: Passage",,,"いつわりの遺構 通路",,
"Button 8",,,8ボタン,,
"The Epitaph Road ""Heroic Spirit Sleeping Path: Memory of Megadosys"" Cleared!",,,"エピタフロード《英霊眠りし道 メガドシスの記憶》攻略！",,
"Pure White Shell Earrings",,,雪白貝のピアス,,
"It was great...Oh, it was really great.",,,良かった――ああ、本当に良かった,,
"The Epitaph Road ""Heroic Spirit Sleeping Path: Memory of Urteca"" Cleared!",,,"エピタフロード《英霊眠りし道 ウルテカの記憶》攻略！",,
Purgatoire,,,ピュルガトワール,,
"Button 9",,,9ボタン,,
Purge,,,侵滅,,
"The Epitaph Road ""Heroic Spirit Sleeping Path: Rathnite Foothills"" Cleared!",,,"エピタフロード《英霊眠りし道 ラスニテ山麓》攻略！",,
"Button 10",,,10ボタン,,
"It was quite a picturesque battle.",,,なかなか絵になる戦いでした,,
"Family Name",,,"Last Name",,
"Famous Cuisine ",,," 温泉宿の自慢料理",,
"The Epitaph Road: Divine Protection of Heroic Spirits",,,エピタフロード：英霊の加護,,
"Purge Ring Plate",,,侵滅のリングプレート,,
"It was satisfying to beat that behemoth and get treasure from it,
but I had a hard time bringing it back to the tower...",,,"ベヘモットを倒し、宝を入手できたのは良かったが
それを塔まで持ち帰るのに苦労した――",,
"Button Calibration",,,ボタンキャリブレーション,,
"Purification Elixir",,,聖受のエリクシル,,
"Fanatic's Hiding Ground",,,狂信者の潜伏地,,
"It wasn't as strong as I thought it would be.",,,思ったほど強くなかったなぁ,,
"The Epitaph Road: Ordeals",,,エピタフロード：試練,,
"It will be a large-scale battle where seasoned soldiers gather their full strength. The enemy possesses overwhelming ferocity, toughness, and advanced tactics. They will come in great numbers to attack. Even skilled warriors can be easily defeated. One miscalculation can lead to the complete annihilation of our allies.",,,"熟達した戦士が総力を結集する大規模戦闘になる
圧倒的な狂暴さとタフさ、高度な戦術を持った敵が
大挙して襲ってくるだろう
戦闘巧者とてあっけなくやられる場合がある
ひとつの判断ミスが仲間の全滅につながると思え",,
"Purification of the Fire Dragon",,,火竜の浄化,,
"Evil Dragon",,,悪しき竜,,
Buy,,,購入,,
"Buy from Online Shop",,,オンラインショップで購入する,,
"It will be a tough and large-scale battle for new recruits.
In order to overcome the fierce and cunning enemies that cannot be dealt with by individual skills alone,
exploit their weaknesses and coordinate attacks.",,,"新兵には厳しい大規模戦闘となる
狂暴かつ狡猾な敵に個人技だけでは
太刀打ちできない弱点をついて連係せよ",,
"Purified Water Section",,,浄水区,,
"Fancy Dress: Akuma A",,,仮装の頭飾　豪鬼Ａ,,
"The Evil Draws Near",,," 忍び寄る悪意",,
"Purifying Decoction",,,魔祓い薬湯,,
"It will take plenty of work and fighting spirit!",,,気合い十分で作業にかかっています！,,
"Fancy Dress: Akuma B",,,仮装の頭飾　豪鬼Ｂ,,
"The Evil Lurking in the Tombs",,," 霊廟に巣くう災",,
"Buying Materials!",,," 素材買い取ります！",,
"The Evil Resounding in the Cave",,," 洞窟に満ちる悪",,
"Fancy Dress: Blanka A",,,仮装の頭飾　ブランカＡ,,
"It will take some time before it is complete.",,,完成まで、いましばらくかかります,,
"Buzzing Plateau",,,羽音の高台,,
"Purity Legs",,,ピュリティレッグス,,
"The Evil in the Dark Night ",,," 闇夜に佇む魔",,
"It won't hit!",,,当たらないよ！,,
"Fancy Dress: Blanka B",,,仮装の頭飾　ブランカＢ,,
"Purple Algae Seed",,,紫鬼草の種子,,
"The Executioner",,,ザ・処刑人,,
"Fancy Dress: Cammy A",,,仮装の頭飾　キャミィＡ,,
"It would be difficult to continue the mission under these circumstances--",,,この状況での任務継続は困難――,,
"Purple Anise",,,紫アニス,,
"By eliminating the summoned Enemies, the power of the Necro Master weakens —",,,召喚された魔物を一掃したことで、骸の将の力が弱まっていく――,,
"Purple Flower Garden",,,紫花の園,,
"The Experiment Strikes Back",,," 実験動物の逆襲",,
"It would be wise to prepare before exploring the underground chamber of the deserted village of Ruflow in Blue Claw Beach, as the depths of Breya Coast are home to many powerful enemies.",,,"青爪浜にある廃村ルフローの地下室
ブリア海岸の奥は強力な魔物が多いため
とっさに逃げ場のない地下室の探索時は
準備をしておく方がいいだろう",,
"By the flow of the river, various things drift and accumulate on the riverbank. 
Among the things carried downstream, there are not only soldiers of the Liberation Army, but also many carcasses of the enemy's animals. 
Whether they emerged from the washed-up corpses or were attracted by the stench of death, wandering monsters continue to wander even in their skeletal forms.",,,"河の流れによって様々なものが漂着する河岸
上流から流されてきたものの中には、解放軍の戦士
たちだけでなく魔軍の獣の死骸も多数存在する
流れ着いた骸から出でたものか、死臭に惹かれて
きたものか、骨になっても徘徊する魔物が徘徊する",,
"Fancy Dress: Cammy B",,,仮装の頭飾　キャミィＢ,,
"It's Not What You Think It Is",,,とんちんかんでも,,
"Fancy Dress: Chun-Li A",,,仮装の頭飾　チュンリーＡ,,
"The Fallen",,,堕ちたる者,,
"By the way -
Recently, Master Benjamin has been facing many infected enemies, and often coughs with a somewhat painful appearance.",,,"ところで――
最近は侵食されている魔物と対峙することが多く
ベンジャミン様はよく咳き込み
どこか苦しそうなご様子です",,
"It's a fine and lovely place --
-- too fine for me and I'm a little nervous!",,,"立派で素敵な場所ですね――
――自分には立派過ぎて、少し緊張します",,
"Fancy Dress: Chun-Li B",,,仮装の頭飾　チュンリーＢ,,
"The Farana Plains, located in the central part of the Phindym continent, are characterized by gently rolling terrain, making them easy to utilize in the varied landscape of Phindym.
Furthermore, compared to other regions, the level of corruption is relatively low, resulting in fewer corrupted creatures.",,,"フィンダム大陸中部に広がる平原
起伏が多いフィンダムにおいて、ファーラナ平原は
なだらかで活用しやすい地形をしている
また、他の地域と比較すると侵食の度合は
緩やかなようで侵食魔の数も少ない",,
"Purple Petals",,,紫色の花弁,,
"By the way, I was praised by another Arisen for this equipment of mine!",,,そう言や、別の覚者様に褒められましたよ、俺のこの装備！,,
"By the way, how about the news? There might be a suitable quest nearby. Why don't we give it a try?",,,"そういや、ニュースの方はどうです？
近くに丁度いいクエストでもありゃ
いってみませんか",,
Pursue,,,を追う,,
"The Fate of All",,," すべての行く末",,
"Fancy Dress: E. Honda A",,,仮装の頭飾　Ｅ．本田Ａ,,
"It's a great base--
It's a place where the glory of the Lord of the Arisen is engraved",,,"素晴らしい拠点ですね――
覚者殿の栄光を刻むに
ふさわしい場ではないですか",,
"The Fate of Lestania ",,," レスタニアの命運",,
"It's a nice change of pace, a room makeover.",,,部屋の模様替え、気分転換になりますね,,
Byram,,,バイラム,,
"Fancy Dress: E. Honda B",,,仮装の頭飾　Ｅ．本田Ｂ,,
"Pursue Aidan",,,アイダンを追う,,
"Fancy Dress: Guile A",,,仮装の頭飾　ガイルＡ,,
"Pursue Leo",,,レオを追う,,
"It's all coming together!",,,みなぎってくる！,,
"The Feast of Demons",,," 鬼人達の宴",,
Bystander,,,目撃者予備枠30,,
"It's also good to be particular about the living environment like this.",,,こうして住環境にこだわってみるのも良いですね,,
"Fancy Dress: Guile B",,,仮装の頭飾　ガイルＢ,,
"The Fiery Titan",,," 炎紅の巨兵",,
"Pursue Your Passion",,,とことんつきつめて,,
"It's an honor to meet you!",,,お会いできて光栄です,,
"Fancy Dress: Imp's Headdress",,,仮装の頭飾　小悪魔,,
"Pursue the game that escaped from the cage",,,檻から抜け出した獲物を追う,,
"The Fighter is a highly skilled close-quarters combatant specialized in ground-based attacks. 
Equipped with a sword and shield, they can also use the shield to defend themselves.
＜Basic Controls＞
- Press 【<KC ATTACK1>】for a combo attack with the sword.
- Hold 【<KC ATTACK2>】for a charged slashing attack.
- Press 【<KC WEAPON_SUB>】to guard.",,,"ファイターは地上での接近戦に長けた
攻撃ジョブの花形です。剣と盾を装備し、
盾で身を守ることもできます　　
＜基本操作＞
　【<KC ATTACK1>】連撃　　（剣による連続攻撃）
　【<KC ATTACK2>】斬り崩し（長押しで溜め攻撃）
　【<KC WEAPON_SUB>】ガード",,
"Pursue the goblins that ran away",,,逃げたゴブリンを追う,,
"It's angry!　Please brace yourself!",,,"怒っています！　気を引き締めて下さい！ ",,
"The Final Battle of the Royal Capital",,," 王都の決戦",,
"Fancy Dress: Imp's Mantle",,,仮装のマント　小悪魔,,
"Pursue the goblins that ran away again",,,さらに逃げたゴブリンを追う,,
"It's better to be within a few levels",,,レベル差が少ないほうがいいですね,,
"Fancy Dress: M. Bison A",,,仮装の頭飾　ベガＡ,,
"The Foolish Occupiers",,," 愚鈍なる占拠者",,
"Pursue the suspicious figure",,,怪しい影を追いかける,,
"Fancy Dress: M. Bison B",,,仮装の頭飾　ベガＢ,,
"It's better to take a little rest, ya know",,,ちったぁ休んだ方が良いですぜ,,
"The Footsteps in the Halls ",,," 石廊に響く足音",,
"The Foreigner's Cave ",,," 異人の洞窟",,
"It's creepy, but if you're with an Arisen――",,,不気味だけど、覚者さまと一緒なら――,,
"Pursue the suspicious ghost",,,怪しすぎるお化けを追いかける,,
"Fancy Dress: Ryu A",,,仮装の頭飾　リュウＡ,,
"Fancy Dress: Ryu B",,,仮装の頭飾　リュウＢ,,
"Pursue with Brad the the goblins that stole food",,,ブラッドと共に食料を盗んだゴブリン達を追う,,
"It's depressing--",,,落ち込みます――,,
"The Foreigner's Remains",,," 異人の遺跡",,
"Fancy Dress: Vampire's Hat",,,仮装の頭飾　バンパイア,,
Pursuit,,,追跡,,
"The Foreigner's Tower",,," 異人の塔",,
"It's down! Let's go all out and do it!",,,ダウンしたぜ！　全力で行ってやりましょうや！,,
"It's down! Let's go all out!",,,ダウンしてるわ！　一気にいきましょう！,,
"The Foreigner's Underground Tomb ",,," 異人の地下墓所",,
"Fancy Dress: Vampire's Mantle",,,仮装のマント　バンパイア,,
"Fancy Dress: Vega A",,,仮装の頭飾　バルログＡ,,
Put,,,置く,,
"The Forgotten Evil Image ",,," 忘れられた魔像",,
"It's getting a little spicy--",,,ちょっと辛くなってきたわ――,,
"Fancy Dress: Vega B",,,仮装の頭飾　バルログＢ,,
"Put Back",,,戻す,,
"It's good. I was able to safely take you home.",,,"良かった、
無事に家までお送りできた――",,
"The Forgotten Guardian ",,," 忘れられた守番",,
"The Fort Gritten main gate has opened, and supply officer Jonas has been assigned to the fort.",,,"グリッテン砦正門が開き、
補給担当のジョナスが砦に配属されました",,
"Fancy Dress: Witch's Hat",,,仮装の頭飾　魔法使い,,
"Put a Magick Glyph on an enemy.
Attacking the Glyph with your sword quickly increases
your magick gauge.
Glyph will diminish if not attacked.",,,"狙いを付けた敵に魔印を付与する
付与された敵を剣で攻撃することで
魔印が成長し、持続的に多くの魔力を得る
攻撃を行わないと徐々に減退する",,
"It's kind of big and spacious and exciting!
There may be a hidden room or something...
Hey, Master!　Wanna race me to see who can get to the top
faster?",,,"なんだか、広くて大きくてわくわくするなぁ！
隠し部屋があったりして――
ねぇ、覚者さま！　あの上までどっちが
早く登れるか、ぼくと競争しませんか？",,
"Fancy Dress: Zangief A",,,仮装の頭飾　ザンギエフＡ,,
"It's kind of relaxing to be back in your room.",,,部屋に戻ると何だか力が抜けちゃうわね,,
"The Fort's Supply Problems ",,," 砦の物資事情",,
"Byzantine Guard",,,ビザンティンガード,,
"Putting everything into the tower, may prove to be my salvation.
That bewitching treasure, it would be regrettable to hand it over to someone such as a thief.",,,"全てを塔に置いてきたことだけが、唯一の救いだ
あの妖しき宝は、盗賊ごときに渡すのは惜しいからな",,
"Fancy Dress: Zangief B",,,仮装の頭飾　ザンギエフＢ,,
"It's like my mentor is taking care of me.",,,うちの覚者様がお世話になってるみてぇで,,
"Pyre Saurian",,,サラマンダー,,
"The Gathered Ones",,,集いし者たち,,
"C Rank: <VAL DP>",,,"Ｃランク ： <VAL DP>",,
"C dungeon boss drop",,,Cダンジョンボスドロップ,,
Fang,,,牙,,
"It's like the atmosphere of the room has changed somehow!",,,何だかお部屋の雰囲気が変わったみたい！,,
"The Gathering Menace ",,," 集う脅威",,
"Pyre Saurian Colony",,,サラマンダーコロニー,,
CAP,,,CAP,,
"Fang Earrings",,,ファングピアス,,
"The Ghost of the First King",,,初代王の亡霊,,
"It's nice to be at home, isn't it?",,,やっぱ家ってのはいいもんですねぇ、力が抜けるや,,
"Fang Wristband",,,ファングリストバンド,,
"The Giant Eagle's Treasure Hoard",,,巨鷲の宝物溜め,,
"It's not an easy place to get around.",,,一筋縄じゃあ、いかなさそうな場所ですね,,
Pyrite,,,黄鉄鉱,,
CP,,,通貨CP,,
"It's not going to be an easy win.",,,楽勝ってわけにゃいきませんね,,
"Pyro Slime",,,パイロスライム,,
Far,,,遠距離,,
"It's not going well.",,,うまくいきませんね――,,
"The Giant's Bed",,,巨人の寝床,,
"Pyroclastic Rock",,,火山噴出岩,,
CR,,,CR,,
Cabinet,,,キャビネット,,
"Pyxis Guard",,,ピクシスガード,,
"Far (↑)",,,広い,,
"It's not that it's tough. It's still--",,,厳しいわけではありません。まだ――,,
"Quadruple Rod",,,クアドラプルロッド,,
"Cabinet Type",,,キャビネットの種類,,
"The Girl Clad in Darkness",,," 闇を纏う娘",,
"It's nothing, really",,,この程度、何でもないわ,,
"Far (↑↑)",,,かなり広い,,
"Farana Explorer",,,ファーラナ探検家,,
"The Girl Who Lost Her Memories ",,," 記憶のない娘",,
Cadell,,,カデル,,
"It's okay!",,,大丈夫です！,,
"Quadruple Slash",,,四連斬,,
Cadré,,,カドレ,,
"It's okay, Master.",,,大丈夫よ、マスター,,
"The Girl in the Forest ",,," 森の中の少女",,
"Farana Guide",,,ファーラナ案内人,,
"Quadruple Slash: Absorption",,,"四撃 吸",,
"Caestus Gloria",,,カエストグロリア,,
"Quadruple Slash: Slayer",,,"四撃 倒",,
"The Glittering Horn",,," 輝く一本角",,
"Farana Medal",,,ファーラナ印記章,,
"It's raining new specialties
It's called inspiration.",,,"新しい特技が降ってきました
閃きというものですね",,
Quakemaker,,,与震,,
"The Goblin King",,," ゴブリンの王",,
"Farana Mint",,,ファーラナミント,,
"It's rare but I'll hold back",,,せっかくですが遠慮します,,
"Cafe Coin [Eight]",,,カフェコイン【捌】,,
"The God of Armor",,,鎧の神様,,
"Cafe Coin [Five]",,,カフェコイン【伍】,,
"It's so big, I wouldn't be surprised if there are hidden rooms
--
It's good to walk in unusual places, but don't slip and hurt yourself",,,"これだけ大きいと、隠し部屋なんかが
あってもおかしくないわよね――
いつもと違う所を歩いてみるのもいいけれど
滑って怪我したりしないでね",,
"Farana Plains",,,ファーラナ平原,,
"Quakemaker LV.1",,,"与震 LV.1",,
"Quakemaker LV.2",,,"与震 LV.2",,
"It's strange that I have never previously seen demons of such an ugly,
comical figure like this...I should remember to be thankful, to have not been born into
this world as one of those demons.",,,"これほどに醜く、滑稽な姿の魔物は見た事が無い
変な話だが――自分があの魔物として
生まれなかった事に、感謝を覚えてすらいる",,
"The God's Awakening",,," 神の目覚め",,
"Cafe Coin [Four]",,,カフェコイン【肆】,,
"Farana Plains Center",,,"ファーラナ平原 中央",,
"Quakemaker LV.3",,,"与震 LV.3",,
"It's the target",,,エモノですぜ,,
"The Golden Arisen",,,黄金の覚者,,
"Cafe Coin [Nine]",,,カフェコイン【玖】,,
"Quakemaker LV.4",,,"与震 LV.4",,
"Cafe Coin [One]",,,カフェコイン【壱】,,
Item,,,アイテム,,
"The Golden Dragon",,,黄金竜,,
"Item Bag",,,アイテムバッグ,,
"Quakemaker LV.5",,,"与震 LV.5",,
"The Golden Dragon attacks, trying to interrupt a specific
attack of the enemy. If the interruption succeeds, the
""Power of Destruction"" is lowered.
<COL ffdc78>LV UP Further decreases the Destruction power.</COL>",,,"黄金竜の攻撃により、敵の特定の攻撃を中断する
攻撃を中断すると＜破滅の力＞の蓄積量が減少する
<COL ffdc78>LV UP毎に破滅の力の減少量がより増加</COL>",,
"Cafe Coin [Seven]",,,カフェコイン【漆】,,
"Farana Plains Trial: Another Branch",,," ファーラナ平原　試練：もう一つの枝",,
"Cafe Coin [Six]",,,カフェコイン【陸】,,
"The Golden Dragon has been successfully repelled.
The cooperation and bravery of the Arisen led to this achievement.
The results of the battle will be reported later, we thank the White Dragon and await its return.",,,"黄金竜の撃退に成功した
覚者の連携力と勇気がこの成果に繋がったのだ
戦果は追って報告する、白竜に感謝し待つがいい",,
"Quakemaker LV.6",,,"与震 LV.6",,
"Item Bag Stack Maximum: ",,,アイテムバッグ1枠スタック数：,,
"Farana Plains Trial: Approaching Echoes of Doom",,," ファーラナ平原　試練：響き来る滅亡",,
"Item Delivery",,,納品アイテム,,
