最早、話すことなどない,There is nothing to say anymore.,
"おぬしが我が前に現れるのを
楽しみに待っているぞッ！",I eagerly await your appearance before me!,
"ほほう！　その力コブに強き眼光――
すでに基本の心得は掴んだと見た
レベルとしては十分よッ！","Oh ho! That strong gaze of yours, focused on your goal.
I can see that you have already grasped the basics.
As far as levels go, you are more than sufficient!",
"《ウォリアー》としての道を究めんとするならば
おぬしの戦いぶりを見てきた
訓練官から新たな修練への太鼓判を
もらうがいい！","If you seek to master the path of the 'Warrior,' then you should receive the trainer's endorsement for further training, having witnessed your fighting style!",
"しかる後、我が前に戻れ！
その時こそ真のウォリアーとしての
一歩が始まるのだッ！！","Afterwards, return before me!
That is when the true Warrior's first step begins!!",
ウフ！　お飲み物はいかが？,Ah! Would you like something to drink?,
"美味しい食事にお飲み物！
今日は休んで騒いで
また明日、冒険を頑張ってねぇ！","A delicious meal with a beverage! 
Take a break today and have some fun. And tomorrow, have an adventure and give it your best!",
"リキュールのブレンド、絶賛研究中よ！
意外な物がお酒の隠し味になるんだから","I'm currently conducting research on blending liqueurs!
Unexpected ingredients can become a hidden flavor in alcohol, you know.",
"あらステキ！　逞しい身体ね
惚れ惚れしちゃうなぁ～","Wonderful! 
You have a strong body. 
It's mesmerizing.",
"あら――
死と名誉、欲とロマンのザンドラ東部へようこそ
神殿付の真面目さん","Oh, the serious person from the temple-
Welcome to Eastern Zandora, a place of death and honor, desire and romance.",
"私はナディア
このゾマ周辺のエリアマスターをしているの","My name is Nadia.
I am the Area Master of this area of Zoma.",
"見てのとおり、ここは危険に満ちた土地
だからこそ強い人を惹きつけ
そして相応しい者をより輝かせる――","As you can see, this is a land filled with danger. And thus, it attracts strong individuals and makes those who are worthy shine even brighter-",
もしくは、朽ちて彷徨う死者の１人にする――,Or make them one of the wandering dead -,
"貴方はどうかしらね？
さぁ、精一杯駆けまわって見せて","How about you?
Come on, let's see you run around as much as you can.",
諸々のご協力感謝するわ,I appreciate all of your assistance.,
"貴方は面白い人だから
次からの支援品に色をつけてあげるわね
だから、もっといろいろして見せて頂戴――","You are an interesting person, so I will add some color to the next support goods for you.
Therefore, please show me more of your various talents.",
"ねぇ。ザンドラ禁域へ続く《奇岩谷》の
ガレキが除去されて、通行可能になったわよ
それは良かったんだけど、道中に
気味の悪い魔物がはびこっているの","Hey. 
The debris in the ""Odd Rock Valley"" that leads to the forbidden zone of Zandora has been removed, making it passable. 
That's good news, but there are creepy enemies lurking along the way.",
"どうしてかしら
あの辺りは、そういった魔物が湧きやすい
らしくてね",I wonder why that area is said to be prone to the emergence of such enemies.,
"不快だし、ロマンの地には似つかわしくない
魔物だし――
見かけたら掃除しておいてくれないかしら","It's unpleasant and not suitable for a romantic place.
Because it's an enemy —
Could you please clean it up if you see it?",
ザンドラでの冒険、慣れてきたようね,"Adventure in Zandora, you seem to be getting used to it, don't you?",
"貴方にもっと輝いてもらうために
紹介したい人がいるの","To make you shine even more, There's someone I want to introduce to you.",
"《オズワルドの店》に滞在している大剣豪
《ウォリアー》のジョブマスター、オリバーよ","To the esteemed Job Master of the Warrior, Oliver, staying at Oswald's Shop.",
"あらゆるものを薙ぎ払い
打ち砕く剛き一撃――",Striking down and crushing everything with a mighty blow—,
"きっと貴方なら、その戦い方も
使いこなせると思うわ",I'm sure you'll be able to use that fighting style too!,
"――ふふ、弟子入りの順番待ちをしてる
ソーニャには悪いけどね","Hehe, I feel sorry for Sonia, who's waiting her turn to become an apprentice.",
"《ウォリアー》として
さらなる輝きを得たければ、会ってみて","If you want to achieve even more brilliance as a Warrior, meet me and see for yourself.",
"そうだわ
セラー湖の岸辺にある《禊の神殿　離殿》は
通ったことがあるかしら？","I see. 
Have you ever been to the Temple of Purification: South Chamber on the shores of Lake Cera?",
"あの建物には地下があってね――
《湖底連絡路》という、セラー湖の底を
巡るように繋がれた水路よ","In that building, there is an underground passage, called the ""Lakebottom Connecting Passage,"" which connects the bottom of Lake Cera like a canal.",
"あまりに広く、探索にいって迷う人が
多いから封鎖していたのだけれど
もしかしたら変わった魔物や財宝が
眠ってる――かもしれないわね","Because so many people get lost when they go exploring, we've had it blocked off.
But there might be unique enemies and treasures that are sleeping there— maybe.",
"入り口、入れるようにしておくわ
興味があったらご自由にどうぞ――ふふ","I will make sure to leave the entrance open for you.
Feel free to come in if you're interested―― hehe",
"すごい活躍ね
酒場でも貴方の噂をよく耳にするわ","You're doing great!
I often hear rumors about you at the Tavern.",
"ここが活気づいてきたのも
貴方のお陰かしら",Is it thanks to you that this place has become lively?,
"支援品に色をつけてあげるわ
これからも頼むわね","I'll add some color to your support items.
Keep up the good work.",
"そうだわ、ちょっと気になることがあってね
貴方の力をあてにさせてもらいたいの","Yes, I'm a little concerned about something and I'd like to count on your help.",
"《東ザンドラ廃墟群》――
丘を少し登った遺跡街に
炎を纏ったゴーレムが現れたの","""East Zandora Ruins"" - As I approached the ancient city on top of the hill, a Golem clad in flames appeared.",
"突然どうして現れたのかしら
誰かが遺跡にあった起動装置を
動かしでもしたのかしら","I wonder why it suddenly appeared. 
Did someone activate the power device that was in the ruins, perhaps?",
"で、そのゴーレムがどうもゾマの方へ
向かうそぶりを見せているらしいのよ
怖いわね――ふふ","And so, it seems that the Golem is showing signs of heading towards Zoma. 
How scary... hehe",
"というわけで、何とかしてくれないかしら
正式なお願いよ","So please do something about it.
It's a formal request.",
"ねぇ、そういえば
この地の北にある《ザンドラ灯台》のことは
知ってる？","Hey, speaking of which, do you know about the Zandora Lighthouse located to the north of this area?",
"灯台で、バルバロイの一派が魔獣を
飼いはじめたようなの",It seems like the faction of Barbarians has started keeping magical beasts at the lighthouse.,
"噂によれば、トサカと大きな黒い翼を
持つ魔物らしいわ","According to rumors, it seems to be an enemy with a crest and large black wings.",
"灯台や廃墟群にいる間はいいけれど
野蛮なバルバロイ達がゾマにきたら厄介だわ","While I'm at the lighthouse or in the ruins, it's fine, but it would be troublesome if those barbarians come to Zoma.",
"誰か強い人が――
何とかしてくれないかしら
ねぇ――？","Is there anyone strong-
Who could do something, I wonder?
Hey-?",
"本当に大したものだわ
荒くれ者ばかりのゾマで
貴方ほど探索と戦いの両方に長けた人は
見たことがない","You're really something, aren't you?
In the rough Zoma where there are only thugs, I have never seen anyone as skilled as you in both exploration and battle.",
"貴方と知り合えて、嬉しく思うわ
報酬というのもおこがましいけれど
これからは他の人とは違う、特別な支援を
してあげる――","I am happy to have met you, although it feels presumptuous to talk about rewards.
From now on, I will provide you with special support that is different from anyone else's.",
"私自身も惹かれてしまいそうね
ふふ――","I myself am also drawn to it, it seems.
Hehe...",
"ねぇ――
死者の丘、ゾマの裏手に広がる
高台に《呪詛の庭》と呼ばれる場所があるの","Hey—
At the back of Zoma, on a hill called the Hill of the Dead, There is a place called the ""Garden of Curses.""",
"人の恨みと死者の魂を吸い
得体の知れぬ“実”をぶらさげた木々が
茂る、《虚ろの祠》に接した庭よ","In the garden that adjoins the ""Shrine of Emptiness"",
Trees hung with mysterious ""seeds"" that absorb the grudges of people and the souls of the deceased flourish.",
"そこでね、先日祠に盗掘にいった人達が
皆殺しにされたの","So you know, the people who went to desecrate the shrine the other day were all killed.",
"何が彼らの命を奪ったのかしらね――
気になると思わない？","I wonder what took their lives--
Don't you think it's curious?",
"そろそろあなたに
きちんと依頼を出してみようかしら",Perhaps it's about time I properly request something from you.,
"私が頼みたいのは
死者の丘、最大の謎――
“亡霊騎士と呪いの秘宝”の解明なの","I'm asking you to help me solve the greatest mystery of the Hill of the Dead--
""The Ghost Knight and the Cursed Treasure"".",
"その秘宝があると言われているのは
ザンドラ礼拝堂の地下に広がる
《死王の迷宮》よ","It is said that the secret treasure is located in the underground of Zandora Chapel, spread out in the Dead Lord's Labyrinth.",
"――私はその奥に何があるのか
知りたいの",--I want to know what's behind it,
"そのためだけに
ここで貴方のような人を待ちながら
エリアマスターをしてきたのかも――","Perhaps, it was for the sake of waiting for someone like you here that I became an Area Master.",
"でも、あそこは冗談抜きで危険な場所
挑むかどうかは貴方に委ねるわ","But that's a dangerous place, no joke.
I'll leave it up to you to decide if you want to take on the challenge.",
"本当に大したものだわ
荒くれ者ばかりのゾマで、貴方ほど
探索と戦いの両方に長けた人は見たことがない","You're really something, aren't you?
In the rough Zoma where there are only thugs, I have never seen anyone as skilled as you in both exploration and battle.",
"貴方と知り合えて、嬉しく思うわ
報酬というのもおこがましいけれど
これを持って行って","I am happy to have met you, although it feels presumptuous to talk about rewards. 
From now on, I will provide you with special support that is different from anyone else's.",
"――ん、私自身も惹かれてしまいそう
ふふ――","I myself am also drawn to it, it seems.
Hehe...",
"すごい活躍だそうね
酒場でも貴方の噂をよく耳にするわ",I often hear rumors about your great achievements. Your fame reaches even the Tavern.,
"ここが活気づいてきたのも貴方のお陰かしら
はい、このところの働きへの贈り物よ
また頼むわね","Is it thanks to you that this place has become lively, I wonder? 
Yes, this is a gift for your recent work. 
I will rely on you again.",
"諸々のご協力感謝するわ
はい、これを受け取って
ゾマを代表して私から、あなたへの贈り物よ","Thanks for all your help.
Yes, take this.
My gift to you on behalf of Zoma.",
"――逞しい人って、素敵
いつも良くしてくれるあなたには
これを進呈するわ","A reliable person is wonderful, isn't it? 
For always treating me well, I offer this to you.",
"あなたにだけ特別よ――
他の連中には内緒ね",This is just for you— It's a secret from the others.,
いつでも待っているわ、ふふ――,"Any time, I'll be waiting, hehe...",
"はい、今回の支援品よ
貴方には粗品じゃ物足りないだろうと思って
少しグレードを上げてみたわ","Yes, this time's support goods.
I thought regular goods wouldn't be enough for you, so I upgraded them a bit.",
役に立てて頂戴,Please make use of it.,
"ちょうど今日は、探索者の支援日なの
これ、差し入れよ、使ってちょうだい","Today is the day of support for adventurers. Here, please take this as a treat and use it.",
"ゾマにようこそ
何か相談事かしら","Welcome to Zoma.
Is there something you wish to discuss?",
"ふふ――
私はここに集う人達を見るのが好き","Hehe...
I like seeing the people gathered here.",
"野望とか夢とか、ロマンとか力試しとか
そんな漠然としたモノに酔ってる人達って
可愛いと思わない？","Don't you think people who are intoxicated by such vague things like ambition, dreams, romance, and tests of strength are adorable?",
"チャンスの一欠片を、少しでも多くの人に
伝えてあげたいの
ここには、そういう話が集まるから","I want to convey a fragment of a chance to as many people as possible.
Because stories like that gather here.",
"ゾマにはもっと華やかに、より危険に
なってもらいたいわ
そして、ぎらぎらした人を呼び込むの","I want Zoma to become more glamorous and dangerous.
And thus, attract dazzling people.",
"そういう人の中から、失われた黄金郷へ
真に辿りつける人が出るかもしれないから","Because among such people, there might be someone who can truly reach the lost golden paradise.",
そして、深い迷宮の奥にもね――,"And thus, even in the depths of a profound labyrinth...",
"《辺境の礎》ってあるわよね
この辺りにあるソレが全て使えるようになったそうよ
ついさっき、神殿からの使いがそう言っていたわ","There's a ""Sub Portcrystal"".
 It seems like everything around here can be used now. 
Just a moment ago, a messenger from the temple said so.",
"不便だったところへも一瞬で移動できる
優れものだと聞いたけど――
何だか無粋だわ","I've heard it's great to get to places that were inconvenient in an instant, but--
it's kind of tacky.",
"私はね、ザンドラ東部に来たのなら自分の足で
移動してほしいと思ってるのよ
この荒れ地に転がる数々のロマンの欠片を
見落としてほしくないもの――","You know, if you've come to Eastern Zandora, I'd like you to move on your own. 
I don't want you to miss the scattered fragments of romance that lie in this wild land—",
"ねぇ――最近、ここから東の方で
大きな鎧が暴れているらしいのよ――","Hey... Lately, it seems like there's a big armor causing trouble somewhere east from here...",
"きっと何らかの魔力で操られた鎧が
あの場所に染みついた死臭に導かれて
やって来たのね","The armor, likely manipulated by some kind of magic, has come to that place guided by the stench of death that permeates it.",
"ふふ、この辺りでは珍しいことじゃないわ――
特にあそこは人獣問わず死体が多くて
《屍のすすり泣く地》なんて呼ばれているんですもの","Hehe, it's not unusual around here, you know-- especially that place, where there are many corpses, regardless of whether they are human or animals. 
It's called the ""Weeping Corpse Ground,"" after all.",
"だけど、鎧のうろつく範囲が
段々拡がってきているらしいのが気がかりなの
このゾマにまでやってきたら――","But I'm concerned that the range of armor wandering around seems to be getting wider and wider.
If it gets to this Zoma...",
"探求者たちを支える町が潰えては、大変
頼もしい誰かが討伐に行ってくれないかしら――
ねぇ？","If the town that supports the adventurers collapses, it will be a disaster.
I wonder if someone reliable could go and subdue it, I wonder...
Hey?",
"そうね、《幽玄の霊堂》のことはもう知っていて？
どんな場所かって？
カタコンベ――そう、地下墓地よ","So then, do you already know about the Mysterious Mausoleum?
What kind of place is it?
Catacombs――yes, an underground graveyard.",
"元は歴史ある霊堂だったそうよ
けど、今は眠りにつくことができない死者たちが
彷徨い続けているんだとか――","Originally, it was a historic mausoleum, they say.
But now, it seems that the deceased who cannot find rest continue to wander.",
"死者たちは本当に眠りにつくことが
できなかったのかしら？
それとも故郷であるザンドラがこんなことになって
無念さのあまり眠りから覚めてしまったのかしら――","I wonder if the deceased were truly unable to rest in peace, or if their homeland, Zandora, becoming like this caused them to awaken from their slumber out of overwhelming regret.",
"そういえば
あの人たちまだ帰ってこないのよね――","Speaking of which, that guy hasn't come back yet--",
"ふふ、この前《幽玄の霊堂》に
意気揚々と盗掘に行った若者のことよ","Hmmm, I'm talking about the young man who went to the other day to steal from the Mysterious Mausoleum.",
"まだ若い子たちだったんだけど
若さ故の無謀さで
死者の仲間入りをしちゃったのかしら","They were still young, but in their youthful recklessness, I wonder if they joined the dead.",
"あら、貴方――
気になるって顔してるわね
よっぽど人が良いのかしら？","Oh, you... 
You have such an interested look on your face. 
I wonder if you're a really kind person?",
"いいわ、もし様子を見に行きたいなら
私に相談して","If you wish to go and see for yourself, please consult with me.",
"今や貴方はこのゾマで
一番の探索者、そして戦士よ
貴方のような存在そのものがロマンと言っても
いいんじゃないかしら","Now, you are the greatest explorer and warrior in this Zoma. 
It might even be right to call an existence like you 'romance'.",
"貴方と知り合えて、嬉しく思うわ
支援品をうんと格上のものにするから
また話を聞かせてちょうだい","I am glad to have met you.
I will upgrade the support goods even more, So please let me hear your story again.",
"――ん、私ったら貴方に惹かれてるのかしら
ふふ――","Hmm, I wonder if I'm attracted to you. Hehe...",
何だァ？　用があるならさっさと言いな,"What is it?　If you have something to say, just say it.",
"俺はな、ダイアンの野郎とは違うんだよ！
レッキとした正規の騎士様なんだぞ、おう！","I'm different from that guy Dion, you know! I'm a proper knight, yeah!",
"まーったく、こんな辺境に派遣されるとは
ついてねェぜ",I can't believe I was dispatched to such a remote place. This is just my luck.,
"どんなとこでも行ってやらァ、任せとけ
とは言ったがよ
酒の席のセリフを真に受けるかよフツウ！
あァッ！？","I'll go anywhere and do it, leave it to me! 
That's what I said, but seriously, who takes lines from a drinking party seriously? Seriously!?",
"別に騎士団が守んなくてもよォ
ここの連中はそれなりにどいつも
やってってるよ！
そう思わねぇか？","It's not like the knight order needs to protect anyone. 
These guys, in their own way, are all doing their best! Don't you think so?",
旅の同伴者をお求めですか？　覚者様,"Are you looking for a travel companion, Lord Arisen?",
白竜様のご加護があらんことを,"May the blessings of The White Dragon, Lady Arisen, be with you.",
リムの輝きは常に貴方と共に,The radiance of Rift Crystal is always with you.,
"メンバーの再編をお考えでしたら
なんなりと","If you are thinking of reorganizing your party members, please do not hesitate to ask.",
"ゾマは、いつも死と隣合わせ
村の上一帯は“死者の丘”と呼ばれているの","Zoma always flirts with death. 
The entire upper area of the village is called the ""Hill of the Dead.""",
"瘴気っていうの？　よく解らないけれど
それが強いらしくって、昼だろうが雨だろうが
おかまいなしに、不死者が外をうろついてるわ","Is it called miasma? 
I don't really understand, but It seems to be strong, whether it's daytime or raining.
Regardless, the undead roam outside, uncaring.",
"彼らのようになりたくなければ
十分休養して英気を養ってゆくことね","If you don't want to end up like them, you'd better get plenty of rest and get your strength back!",
"この辺りの事について詳しく知りたければ
ナディアに相談してみればいいわ","If you want to know more about this area, you should consult Nadia.",
"でも彼女、あれでなかなか苦労も多いのよ
力になってあげてね、お強い覚者様","But she has faced many hardships with that, you know. 
Please support her, you strong Arisen.",
"ここでアタシの歌を聴いてくれたお客さん
遺跡や墓地を荒らしに行って
そのまま戻らない人も多いわ",Many of the guests who have heard me sing here go to vandalize ruins and cemeteries and never come back.,
"野盗をしてるか、別の村へ行ったのか
それとも不死者になったのか――","Did he become a bandit, or did he go to another village?
Or maybe he became an undead--",
アナタはまた戻っていらしてね？,Will you come back again?,
一曲いかがかしら？,How about a song?,
"おお、必要な品があれば
分けてやるぞ","Oh, if there is anything you need, I will gladly share it with you.",
"砦の資材集めもなかなか馬鹿にならん
討伐任務もすぐに新しいのが来るしなぁ","Gathering materials for the fortress is no easy task, I tell you. 
And the subjugation missions keep coming one after another.",
"お前もできればグリッテン砦の
《クエストボード》案件、手伝ってくれよ","If you can, please help me with the quest on the Quest Board of Fort Gritten.",
"バートランド平原に行けるように
なってたらな","If I were able to go to the Betland Plains, that would be great.",
"オークどもめ、こないだの砦攻めで
盛大にあちこち壊しやがって","Those orcs, during the fortress assault the other day, made a mess breaking things everywhere.",
"ここが破られたらいよいよ奴らの思い通りだ
ま、俺たちがそうはさせないがな","If this place is destroyed, they'll finally have their way. Well, we won't let that happen, though.",
なんだ、用があるなら手短にな,"If you have any business, please make it brief.",
"休んでいくか？　ま、体調管理も任務のうちだ
<VAL PRICE_INN>は利用代として徴収するがな","Are you going to take a break? Well, managing your health is part of your duties. <VAL PRICE_INN> will be collected as a fee.",
はい,Yes,
いいえ,No,
"休むなら、そこのベッドを自由に使え
お前は期待の新人だ
体は大事にしてもらわんとな","If you want to rest, feel free to use that bed there.
You're the new guy we're counting on.
You've got to take care of yourself.",
はい,Yes,
いいえ,No,
"ああ、《弱化の治療》だな？
悪いが<VAL PRICE_WEAK>、徴収するぞ","Ah, is it ""Treat Weakness""?
I'm sorry, but it's <VAL PRICE_WEAK>. 
I have to collect it.",
はい,Yes,
いいえ,No,
"うん？　お前は《弱化》に掛ってはいないぞ
しっかりしろよ","Huh? You aren't weakened, are you?
Pull yourself together.",
"覚者にも、ポーンの民と契約を
結べる者と結べない者がいる","Even among the Arisen, there are those who can form contracts with Pawns, and those who cannot.",
"俺は後者だったが――
いったい何が違うというんだ、くそ！","I was the latter, but--
What exactly is the difference, damn it!",
"剣の技を学びたければ
ヴァネッサ副隊長に認めてもらう他ない
せいぜい修練することだ","If you want to learn sword techniques, there is no choice but to gain recognition from Captain Vanessa, the vice captain. 
All you can do is train diligently.",
"「この砦を持たせることが、俺達の任務」
そんな事を言うやつがいるが
お前もそのクチか？","There are those who say, 'Our mission is to hold this fortress.' 
Are you also one of them?",
守ってるだけで勝てはしないだろうに,"Just protecting won't lead to victory, will it?",
よぉ！　御同輩,Hello! My comrade.,
"ハイデル平原の北、
砦裏の《バートランド平原》は
まだオーク共の影響下だ","To the north of the Heidell Plains, past the fortress, lies the Betland Plains. 
It is still under the influence of the Orcs.",
"危険が大きいからなぁ
かなりの武功、もしくは任務でもなけりゃ
裏へ抜けることはできねぇぜ","Because the danger is significant, you see.
Unless it's an impressive achievement or a vital mission, you can't make your way to the back.",
"まぁ、《ダウ渓谷》のエリアマスター
ヘイデンに認められりゃ、
ダウ渓谷側の関所からあっちの方へ
抜けられるらしいがな","Well, if you're recognized by Hayden, the Area Master of Dowe Valley, it seems you can pass through the checkpoint on the Dowe Valley side and head over to the other side.",
"オーク野郎どもは、今日も休みらしいぜ
来たらぶった斬ってやるのによ","Those orc bastards seem to be taking a day off today. 
If they come, I'll cut them down.",
ヴァネッサ副隊長に挨拶くらいしてけよな,"Make sure to greet Vice Captain Vanessa, okay?",
"ハハハ！
騎士団の腰ぬけにゃ、まぁこの砦は
守れんだろうさ","Hahaha! With those spineless knights, I doubt this fortress can be defended.",
なんだ？　連絡事項でもあるのか？,What is it?　You have a message for me?,
"《バートランド平原》側への
通行が許可されたんだな
任務、頑張れよ！","So, I see you've been granted permission to travel to the Betland Plains. 
Good luck with your mission!",
"前の戦闘を皮切りに、奴らもこちらへ
攻撃をしかけることが増えてきた
つどつど追い返すしかないのが辛いところだな","Starting with the previous fight, they have been increasing their attacks towards us. 
It's tough having to constantly push them back.",
元を断てればいいんだが――,If only we could cut off the source--,
"この正面門の通行には、統率の許可が必要だ
砦の向こう、《バートランド平原》は
完全な危険地帯だからな","Permission from your superiors is required to pass through this main gate. 
Beyond the fortress lies the Betland Plains, a highly dangerous area.",
"よほどの任務か理由でもなければ
おいそれとは通れないさ","Unless it's a significant mission or reason,
You can't just pass through casually.",
"北部のバートランド平原は
オーク共の根城に近い
このグリッテン砦が、奴らの侵攻を塞ぐ要なのさ","The Betland Plains in the north is close to the stronghold of the orcs.
Fort Gritten is vital in fending off their invasion.",
"北部の魔物どもは手強い上に数も多い
ハイデルに奴らを通すわけにはいかないのだ","The northern enemies are not only formidable, but their numbers are also high.
We cannot let them through to Heidell.",
やぁ、お疲れさん,"Hey, you must be tired.",
"バートランド平原には
いくつか要注意ポイントがあるんだ",There are several points of interest in the Bertrand Plain:,
"まずはセラー湖近くの《湖岸の廃墟》
大型の魔物がなぜか現れやすいんだ","First, the ""Lakeside Ruins"" near Lake Cera.
Large enemies tend to appear for some reason.",
"あとは、平原西はずれの《バートランド大橋》だね
こっちはよほどの偵察でもなけりゃ
行かないだろうけど
オークの部隊が巡回していることがあるんだ","Next, there's the Betland Bridge on the western edge of the plain, right?
Unless you're on a serious reconnaissance mission, you probably won't go there, but there are times when Orc units patrol the area.",
"湖の浜辺あたりも
水棲竜の目撃情報があったりして物騒だよね
まぁ、結局どこもわりと危険なんだけど","Even the beach around the lake has reports of sightings of aquatic dragons, making it dangerous.
Well, in the end, everywhere is relatively dangerous.",
"とほほ、ブーツの紐が切れちゃったよ
縁起悪いよなぁ","And ohoho, my boot laces broke.
That's not a good omen, is it?",
オークの臭いがもうちょっとマシだったらなぁ,If only the smell of the Orc was a little less repugnant...,
"まぁでも、そんな愚痴を言ってられるのも
生きてるからだよなぁ","Well, but I'm only able to complain about that because I'm alive.",
"知ってるか？　ヴァネッサ副隊長も
前は色々大変だったそうだ",Did you know? Vice Captain Vanessa also went through a lot before.,
"女で覚者で、騎士団からの風当たりも
強かったりでな","As a woman and an Arisen, the criticism from the Knight's Order can be strong.",
"ま、だからこそあんな凛々しくカッコよく
へへへ――
なれたんだろうなぁ","Well, that's why she was able to become so noble and cool.
Hehehe--",
"いやー、参った参った
まさかお前がここまで凄いとはなぁ――
副隊長がベタ褒めするのもしょうがないか","Well, I'm impressed, I'm impressed. 
I didn't expect you to be this amazing. 
I guess even the vice-captain's over-the-top praise is understandable.",
"正直、お前がいなかったらこの砦は
オークに落とされてたかもしれん
俺も他のヤツも、それは解ってるツモリさ","Honestly, if you weren't here, this fortress might have been taken down by Orcs. 
Both me and the others know that.",
"さ、今度の特別報償だ
胸を張って受け取れよ！","Well, this time it's a special reward, so accept it with pride!",
"よぉよぉ！！　ブイブイ言わせてる
みたいじゃないか
新入りだと思ってたらあっという間だな","Hey, hey! 
You're really making waves, aren't you? 
I thought you were a newcomer, but time flies.",
"お前の働きに対して、報償が出たぞ
ま、それだけ戦果をあげたってわけだ
誇っていいぞ、うん","You've been rewarded for your work.
Well, that's what you get for fighting the good fight.
You should be proud, yeah.",
"おおそうだ！
お前の働きぶり、ちょくちょく聞いてるぞ
これからも頑張れよ！","Oh yeah!
I've heard a lot about your work, Keep it up!",
"お前、すごい活躍なんだってな！
ちくしょー、さっき副隊長が
わざわざこれをお前にってよ","I heard you've been doing amazing work! 
Hell, just now the vice-captain specifically gave this to you.",
"ほら、持ってけ！
あーちくしょ～！　羨ましい！！","Here, take it!
Ah, damn it~!　I'm so jealous!",
"おうおう、頑張ってるみたいじゃないか！
お前には他のヤツよりちょっといい
支給品を回してやるよ","Oh, well, it looks like you're doing a great job!
I'm going to give you a little better allowance than the rest of them.",
"お疲れさん、忘れず顔を出したな
ほれ、今回の支給品だ","Good job, you didn't forget to show up.
Here, here's the latest supply.",
"よぉ！
よく来たな、噂の大型新人！","Hey there!
You've come at a good time, the rumored big shot rookie!",
"俺は砦北部のエリア、バートランド平原の
エリアマスターをしてるスケルツォ
――お前と同じ覚者だ","I am Scherzo, the Area Master of the northern area, Betland Plains. I am an Arisen, just like you.",
"しかし困ったぞ――
憧れのヴァネッサ副隊長が信頼するレオ統率に
目をかけられてるお前――！","However, I'm in trouble--
You, who are being noticed by Leo, the commanding officer whom Lieutenant Vanessa admires and trusts!",
俺にとっちゃあ、最大のライバル出現だ！,"For me, this is the biggest rivalry I've ever had!",
――とまぁ、冗談はさておきよろしくな！,"-- and well, joking aside, nice to meet you!",
"ここのクエストボードは正門の中だ
バートランド平原の任務――
資源確保とオーク軍の勢力調査だ","The quest board here is inside the main gate.
Quests in the Betland Plains - securing resources and investigating the Orc army's strength.",
"そのうちお前にも頼むことになるだろうが
今すぐにってわけじゃない
なにせ危険地帯だからな","I'll have to ask you to do it eventually.
Not right now, though.
It's a dangerous zone, after all.",
"まずは、レオ統率や他のエリアマスター
から一目置かれる覚者になってくれよ
――あ、でも副隊長の前では控えめにな！","First, become an Arisen who is respected by Leo and other Area Masters. 
But, be modest in front of the Vice Captain!",
"お前の働きぶり、ちょくちょく聞いてるぞ
これからも頑張れよ！","I've heard a lot about your work,
keep up the good work!",
"ま、俺がお前のために直接してやれることは
支給くらいだけど
成果に応じていいもん手配してやるからさ！","Well, the only direct thing I can do for you is to provide support, but I'll arrange something nice for you based on your results, so...!",
一つ、不穏な情報が入ってるんだ,There is one piece of unsettling information.,
"バートランド高地の監視塔近く、湖のほとり
《湖岸の廃墟》でコロッサスが出現するように
なったようでな
それもかなりの剛腕ぶりらしい","Near the observation tower in Betland Highlands, by the lake. 
A Colossus seems to have appeared at the Lakeside Ruins. 
And it seems to possess quite an impressive level of strength.",
"あそこはバートランド連絡路にも近いから
周囲を通る時は気をつけろ
もちろん、討伐してくれりゃ大助かりだ","Because there is a connecting channel to Betland nearby, be careful when passing through there. 
Of course, it would be a great help if you could subdue it.",
"おっ！　そうだ
お前に頼みたい任務があるんだ","Oh! That's right.
I have a mission that I want to ask of you.",
"《バートランド墓地》は知ってるか？
まぁ簡単に言えば、任務はその内部調査だ","Do you know about Betland Cemetery? Well, to put it simply, the mission is to investigate its interior.",
"中の様子を見てみて
もし魔物がいたらその討伐！
――うんまぁ、あれだ、シンプルだろ？","Take a look inside and if there are demons, then defeat them!
--Yeah well, that's it, simple, right?",
"任務を受ける準備ができたら
あらためて声を掛けてくれ","When you're ready to take on the assignment, give me a call again.",
"よぉよぉ！！　ブイブイ言わせてる
みたいじゃないか
新入りだと思ってたらあっという間だな","Hey, hey! 
You're really making waves, aren't you? 
I thought you were a newcomer, but time flies.",
"お前の働きに対して、報償が出たぞ
支給品の格上げだ","I have received compensation for your labor.
It is an upgrade of the supplies provided.",
"ま、それだけ戦果をあげたってわけだ
誇っていいぞ、うん","Well, that's how much you've accomplished in the war.
You can be proud of yourself, yeah.",
"要警戒情報が入ったぞ！
オークの本拠地に近い、平原北部――
《バートランド大橋》のたもとで、精鋭部隊らしき
オークの一団が目撃されたんだ","Alert! We have received important information.
In the northern part of the plain, near the Orc stronghold, underneath Betland Bridge, a group of elite Orcs has been sighted.",
"部隊が準備をしている間に
何とかしないと、また砦が攻め込まれない
とも限らない","While the unit is preparing, we must do something, or the fortress may be breached again.
There is no guarantee otherwise.",
"ヴァネッサ副隊長には報告済みだが
もし対処できそうなら、お前の方でも
よろしく頼む","I have already reported it to Vice Captain Vanessa, but if you think you can address it, I also ask for your assistance.",
"バートランドのどこかには
モゴックの腹心《戦鬼ゲソム》が指揮する
部隊のアジトがあるって情報も入ってる","Somewhere in Betland, there is information that Gesomu the War Demon, Mogok's right-hand man, commands a base for his unit.",
引き続き調べる必要があるな,I'll have to keep looking into this.,
