"21787","
","
"21222","雑多なクラフト用素材
何が書いてあったのかもわからない護符の切れ端","Miscellaneous Crafting Material: A fragment of a talisman where you can't even tell what was written on it."
"21223","皮革系のクラフト用素材
衝撃や高温に特に強いラージジオリザードの鱗","Pelt Crafting Material: Scales of the Giant Geo Saurian, known for their exceptional resistance to impact and high temperatures."
"21224","羽根系のクラフト用素材
魔軍に使役され、火薬の臭いが染み付いた
ナイトメアの羽根","Feather Crafting Material: Nightmare feathers that have been enslaved by the Demon Army, with the lingering smell of gunpowder."
"21225","爪牙系のクラフト用素材
ドワーフオークの数倍の大きさがある
アンセスターオークの牙","Fang Crafting Material:
Ancestor Orc fang, which is several times larger than Dwarf Orc's."
"21226","皮革系のクラフト用素材
フォッデンの縞模様が入った分厚い表皮","Pelt Crafting Material: Thick hide with Fodden's striped pattern."
"21227","雑多なクラフト用素材
さらなる改良が施された新型の戦甲","Miscellaneous Crafting Material:
A new and improved version of war-ready armor."
"21229","雑多なクラフト用素材
衝撃を緩和する弾性に富んだ資材","Miscellaneous Crafting Material:
Resilient materials that provide cushioning against impact."
"21230","糸系のクラフト用素材
燃えにくい素材をさらに加工して作った紐","String Crafting Material: Materials made by further processing fire-resistant materials, used for crafting."
"21231","雑多なクラフト用素材
強い力に満ち、冷め固まることなく
熾り続けるマグマ","Miscellaneous Crafting Material:
A magma that is filled with immense power, never cooling and continuously glowing."
"21232","骨系のクラフト用素材
一定以上の大きさがあり
加工しやすい大型の骨","Bone Crafting Material:
Large bones that are of a certain size and easy to process."
"21233","雑多なクラフト用素材
陸上に生息する甲殻類
甘味のある身は食用に向く","Miscellaneous Crafting Material: Crustaceans that inhabit the land. 
Their sweet meat is suitable for consumption."
"21234","雑多なクラフト用素材
ごくまれにケイブシュリンプが
抱いた状態で見つかる卵","Miscellaneous Crafting Material:
Occasionally, Cave Shrimp eggs are found in the rare state of being incubated."
"21235","木材系のクラフト用素材
水中の不純物を固める作用を持つ
鉱物を粉にしたもの","Wood Crafting Material: 
A mineral powder that has the ability to solidify impurities in water."
"21236","雑多なクラフト用素材
毒素を抜き、浄化する作用を持った結晶","Miscellaneous Crafting Material:
A crystal with the ability to remove toxins and purify."
"21237","魔道書系のクラフト用素材
王家を讃える言葉が読み取れるスクロール","Grimoire Crafting Material:
Scroll with words praising the royal family."
"21238","魔道書系のクラフト用素材
王家のために編まれた術が記されている魔道書","Grimoire Crafting Material: A spellbook that contains magic woven for the royal family."
"21239","雑多なクラフト用素材
圧縮されパルスを放つ闇の力","Miscellaneous Crafting Material: Dark power compressed and released in pulses."
"21244","特別な材質で作られた錬石の欠片
アイテム生産で組み合わせると
追加ステータスを付加するクラフト用素材となる","Fragments of a forged stone made from a special material. 
When combined in item crafting, it becomes a crafting material that adds additional stats."
"21245","特別な材質で作られた錬石の欠片
アイテム生産で組み合わせると
追加ステータスを付加するクラフト用素材となる","Fragments of a forged stone made from a special material. 
When combined in item crafting, it becomes a crafting material that adds additional stats."
"21246","特別な材質で作られた錬石の欠片
アイテム生産で組み合わせると
追加ステータスを付加するクラフト用素材となる","Fragments of a forged stone made from a special material. 
When combined in item crafting, it becomes a crafting material that adds additional stats."
"21247","特別な材質で作られた錬石の欠片
アイテム生産で組み合わせると
追加ステータスを付加するクラフト用素材となる","Fragments of a forged stone made from a special material. 
When combined in item crafting, it becomes a crafting material that adds additional stats."
"21248","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【霊体】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Spectral Slayer"" to weapons."
"21249","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【呪詛】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Cursed Slayer"" to weapons."
"21250","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【錬金】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Alchemy Slayer"" to weapons."
"21251","追加ステータスを付加するクラフト用素材
特別な材質で作られた錬石
武器に対敵特効【侵食】を付加する","Crafting Material for adding additional stats to weapons.
A refined stone made from a special material.
Adds ""Corrupted Slayer"" to weapons."
"21252","木材系のクラフト用素材
金色に輝く小さなヤドリギ","Wood Crafting Material: A small, golden, shining mistletoe."
"21253","戦功をたてたドワーフオークであることを
たたえる魔軍の印
《鑑定交換》の取引対象になるようだ","The emblem of the Demon Army that honors a Dwarf Orc who has achieved great war merit. 
It seems to be a target for ""Appraisal Exchange""."
"21319","書斎に設置できるタペストリー（右）
DDON総選挙2位　レオ","Tapestry (Right) that can be placed in the study
2nd place in the DDON General Election: Leo"
"21320","書斎に設置できるタペストリー（右）
DDON総選挙3位　リズ","Tapestry (Right) that can be placed in the study
3rd place in the DDON General Election: Lise"
"21321","書斎に設置できるタペストリー（左）
DDON総選挙1位　セシリー","Tapestry (Left) that can be placed in the study
1st place in the DDON General Election: Cecily"
"21326","リビングに設置できる
クリスマスを満喫するためのカーペット","A carpet that can be placed in the Living Room to fully enjoy Christmas"
"21327","書斎に設置できる
クリスマスを満喫するためのカーペット","Carpet to fully enjoy Christmas that can be placed in the study"
"21328","最高の材料を集め、全力の技術で
作られたチョコレートケーキ
華やかなカカオの香りが広がる逸品","A chocolate cake made with the finest ingredients and crafted with utmost skill. 
A masterpiece that fills the air with the enchanting aroma of cocoa."
"21329","とろけるように甘いハニーケーキ
見た目は素朴だが、風味豊かでしっとりした
黄色い生地は心を弾ませる逸品","A honey cake that is irresistibly sweet, like melting away.
Although it appears simple, it is rich in flavor and moist.
The yellow batter is a masterpiece that makes hearts leap with joy."
"21330","きめ細やかで華やかな香りのココアパウダー
製菓材料として最適の品質","A cocoa powder with a delicate and vibrant aroma.
Optimal quality for confectionery ingredients."
"21331","後を引く甘味をもつはちみつ
レスタニアの花々の風味が心地よく
野生動物にも人にも大人気","Lestania honey, with a lingering sweetness has a delightful aroma of Lestania flowers, which is loved by both wild animals and humans."
"21332","ウォーミッション《霧の森》
で高い戦果を上げた者に送られる勲章","Medal awarded to those who achieve high results in the War Mission ""Forest of Mist""."
"21355","《鑑定交換》で利用できるジュエリー
ハイセプター用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for High Scepter."
"21356","サイクロランタン【銀】のレシピ","Recipe for Cyclops Lantern (Silver)"
"21379","失われた技術により作られた鋼鉄
地域によってさらに性質が異なるといわれている","Steel created by lost techniques.
It is said that its properties vary depending on the region."
"21380","ポーンに与えることで
剛化の特技を習得させる果実
特技ランクが高い剛化を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Harden.
It also greatly increases the chance of a high-ranked Harden to flash into their mind. "
"21381","ポーンに与えることで
重化の特技を習得させる果実
特技ランクが高い重化を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Heavy.
It also greatly increases the chance of a high-ranked Heavy to flash into their mind. "
"21382","ポーンに与えることで
癒活の特技を習得させる果実
特技ランクが高い癒活を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Restoration. 
It also greatly increases the chance of a high-ranked Restoration to flash into their mind. "
"21383","ポーンに与えることで
守護の特技を習得させる果実
特技ランクが高い守護を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Protection. 
It also greatly increases the chance of a high-ranked Protection to flash into their mind. "
"21384","ポーンに与えることで
柔化の特技を習得させる果実
特技ランクが高い柔化を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Weaken. 
It also greatly increases the chance of a high-ranked Weaken to flash into their mind. "
"21385","ポーンに与えることで
集視の特技を習得させる果実
特技ランクが高い集視を閃く確率も
大きく上昇する ","A fruit that, when given to a Pawn, allows them to learn the special skill of Attraction.
It also greatly increases the chance of a high-ranked Attraction to flash into their mind. "
"21386","ポーンに与えることで
無恐の特技を習得させる果実
特技ランクが高い無恐を閃く確率も
大きく上昇する ","A fruit that, when given to a Pawn, allows them to learn the special skill of Fearless.
It also greatly increases the chance of a high-ranked Fearless to flash into their mind. "
"21387","ポーンに与えることで
集中の特技を習得させる果実
特技ランクが高い集中を閃く確率も
大きく上昇する ","A fruit that, when given to a Pawn, allows them to learn the special skill of Concentration.
It also greatly increases the chance of a high-ranked Concentration to flash into their mind. "
"21388","ポーンに与えることで
蘇生の特技を習得させる果実
特技ランクが高い蘇生を閃く確率も
大きく上昇する ","By giving it to a Pawn, this fruit allows them to learn the special skill of Resurrection. 
It also greatly increases the chance of a high-ranked Resurrection to flash into their mind. "
"21389","2018年新春に豪華賞品が当たる抽選券","Lottery Ticket to Win Luxurious Prizes in the 2018 New Year's Celebration"
"21390","失われた技術により作られた鋼鉄
地域によってさらに性質が異なるといわれている","Steel created by lost techniques.
It is said that its properties vary depending on the region."
"21391","失われた技術により作られた金属繊維
地域によってさらに性質が異なるといわれている","Metal fibers created by lost technology.
It is said that their properties vary depending on the region."
"21462","精霊竜像のレシピ","Recipe for Spirit Dragon Statue"
"21463","タペストリー・ルインズのレシピ","Recipe: Tapestry - Ruins"
"21464","アリストクラットバス・コカトリスのレシピ","Recipe for Aristocrat Bath Cockatrice"
"21465","立体映像投影機のレシピ","Recipe for Holographic Projection Device"
"21470","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21471","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21472","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21473","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21474","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21475","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21476","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21477","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21478","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21479","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21546","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるサイズ","With the cooperation of Lestanian artisans, a puppet has been created that can be placed on a kitchen chair, just the right size."
"21547","自室の壁をバレンタイン仕様に
塗り替えることができる","You can repaint your room's walls in a Valentine's Day theme
"
"21548","バレンタインの甘～い雰囲気が楽しめるお風呂","A bath where you can enjoy a sweet Valentine's atmosphere."
"21549","ビターな色合いのリビングテーブル","A living room table with a bitter color scheme."
"21550","レスタニアの職人の協力によって
作成できるようになったパペット
キッチンのイスに座らせられるサイズ","With the cooperation of Lestanian artisans, a puppet has been created that can be placed on a kitchen chair, just the right size."
"21551","自室の壁をホワイトデー仕様に
塗り替えることができる","You can repaint your room's walls in a White Day theme
"
"21552","ホワイトデーの甘～い雰囲気が楽しめるお風呂","A bath where you can enjoy a sweet White Day atmosphere."
"21553","スィートな色合いのリビングテーブル","A living room table with a sweet color scheme."
"21554","キッチンに設置できる食事セット
バレンタインメニュー","Meal set that can be installed in the kitchen
Valentine's Day menu"
"21555","キッチンに設置できる食事セット
ホワイトデーメニュー","Meal set that can be installed in the kitchen
White Day menu"
"21556","地獄の釜で茹でられているかのような気分を
味わえる特別なお風呂","A special bath where you can experience the feeling of being boiled in a hellish cauldron."
"21557","自室で音楽が聴けるようになる楽譜","Sheet Music that allows you to listen to music in your room."
"21606","《鑑定交換》で利用できるジュエリー
ファイター用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Fighters."
"21607","《鑑定交換》で利用できるジュエリー
ハンター用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Hunters."
"21608","《鑑定交換》で利用できるジュエリー
プリースト用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Priest."
"21609","《鑑定交換》で利用できるジュエリー
シールドセージ用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Shield Sages."
"21610","《鑑定交換》で利用できるジュエリー
シーカー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Seekers."
"21611","《鑑定交換》で利用できるジュエリー
ソーサラー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Sorcerers."
"21612","《鑑定交換》で利用できるジュエリー
エレメントアーチャー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Element Archers."
"21613","《鑑定交換》で利用できるジュエリー
ウォリアー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Warriors."
"21614","《鑑定交換》で利用できるジュエリー
アルケミスト用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Alchemists."
"21615","《鑑定交換》で利用できるジュエリー
スピリットランサー用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for Spirit Lancers."
"21616","《鑑定交換》で利用できるジュエリー
ハイセプター用のアビリティ効果を
持つジュエリーになる","Jewelry that can be used for ""Appraisal Exchange"" and has augment effects for High Scepter."
"21623","因果律に選ばれた者が持つ運命にあるもの
《鑑定交換》で利用できる他
特定装備の強化素材としても利用できる","Something inherent in the fate of those chosen by causality.
Can be used in ""Appraisal Exchange"" and also as a strengthening material for specific equipment."
"21627","入手機会が限られたクラフト用素材
利用された数多の罪人の魂が
己を解き放った者へ遺した魔力の塊","Crafting materials with limited availability.
A concentrated mass of magical power left by the souls of numerous sinners who have been set free and bestowed upon those who have unleashed themselves."
"21630","黒呪の迷宮でのみ入手できるアイテム
頑丈な造りに強固な封印が施された箱
開けるには特殊な技術が必要","An item that can only be obtained in the Bitterblack Maze.
A sturdy box with a strong seal.
Special techniques are required to open it."
"21631","ファイターのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Fighter to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21632","シールドセージのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Shield Sage to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21633","ハンターのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Hunter to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21634","プリーストのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Priest to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21635","ソーサラーのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Sorcerer to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21636","シーカーのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Seeker to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21637","EアーチャーのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Elemental Archer to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21638","ウォリアーのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Warrior to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21639","アルケミストのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Alchemist to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21640","SランサーのジョブレベルをLV.90にする
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Raise the job level of the Spirit Lancer to LV.90.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21641","シーズン１～２までの
ファイターのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all the skills and abilities of Fighter from Season 1 to 2.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21642","シーズン１～２までの
シールドセージのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all skills and abilities for Shield Sage from Season 1-2.
<COL ffdc78>*Added to NPC Joseph's menu.</COL>"
"21643","シーズン１～２までの
ハンターのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all skills and abilities for Hunter from Season 1-2.
<COL ffdc78>*Added to NPC Joseph's menu.</COL>"
"21644","シーズン１～２までの
プリーストのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all skills and abilities for the Priest from Season 1 to 2.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21645","シーズン１～２までの
ソーサラーのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all the skills and abilities of the Sorcerer from Season 1 to 2.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21646","シーズン１～２までの
シーカーのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all skills and abilities for Seeker from Season 1-2.
<COL ffdc78>*Added to NPC Joseph's menu.</COL>"
"21647","シーズン１～２までの
Eアーチャーのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all skills and abilities for Element Archer from Season 1-2.
<COL ffdc78>*Added to NPC Joseph's menu.</COL>"
"21648","シーズン１～２までの
ウォリアーのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all the skills and abilities of Warrior from Season 1-2.
<COL ffdc78>They will be added to NPC Joseph's menu.</COL>"
"21649","シーズン１～２までの
アルケミストのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all the skills and abilities of Alchemist from Season 1-2.
<COL ffdc78>They will be added to NPC Joseph's menu.</COL>"
"21650","シーズン１～２までの
Sランサーのスキル、アビリティを全開放する
<COL ffdc78>※NPC「ジョゼフ」のメニューに追加されます</COL>","Unlock all the skills and abilities of Spirit Lancer from Season 1 to 2.
<COL ffdc78>*This will be added to NPC Joseph's menu.</COL>"
"21658","3周年を祝うルームランプ","Room lamp that celebrates the 3rd anniversary"
"21659","3周年を祝う豪華なケーキ","Luxurious cake that celebrates the 3rd anniversary"
"21660","3周年を祝う飾り","Decoration that celebrates the 3rd anniversary"
"21661","3周年を祝う可愛いパペット
チェストの上に置ける大きめサイズ","Cute puppet that celebrates the 3rd anniversary
can be placed on top of the chest in a larger size"
"21662","書斎に設置できる
3周年を祝うタペストリー（右）","A tapestry (right) to celebrate the 3rd anniversary that can be installed in the study"
"21663","書斎に設置できる
3周年を祝うタペストリー（左）","A tapestry (left) to celebrate the 3rd anniversary that can be installed in the study"
"21668","入手機会が限られたクラフト用素材
深緑色に輝く宝石と王族の紋章が印象的なコイン
記念品として作られたもので貨幣としては使われない","Crafting materials with limited availability:
A coin with a striking deep green color and the impressive coat of arms of the royal family.
It is made as a commemorative item and is not used as currency."
"21716","覇王の卵","Egg of the Supreme King"
"21717","タペストリー・鷹の団","Tapestry - Band of the Falcon"
"21775","ゴールデンアイランタンのレシピ","Recipe for Golden Eye Lantern"
"21777","おばけのようにフワフワと浮かんでいる布
マンドラゴラに着せると、可愛くも怖い
「おばけマンドラゴラ」に変身する","Cloth that floats like a ghost, fluffy and light.
When worn by a Mandragora, it transforms into the cute yet eerie ""Ghost Mandragora""."
"21778","モスを連想させる見た目の発光する宝石
マンドラゴラに肥料として与えると、美しく光輝く
「ルミナスマンドラ･ランプ」に変身する","A gem that resembles a glowing moth, it transforms into a beautiful and radiant ""Luminous Mandra Lamp"" when used as fertilizer for the Mandragora."
"21779","赤と白のまだら模様の苔が生えた珍しい宝石
マンドラゴラに肥料として与えると、王の威厳が溢れる
「おうさまマンドラゴラ」に変身する","A rare gem with a mottled pattern of red and white moss growing on it. 
When used as fertilizer for the Mandragora, it transforms into the majestic ""King Mandragora""."
"21816","物理攻撃力を上昇させる","Increase physical attack power."
"21817","物理攻撃力を上昇させる","Increase physical attack power."
"21818","物理攻撃力を上昇させる","Increase physical attack power."
"21819","物理攻撃力を上昇させる","Increase physical attack power."
"21820","物理攻撃力を上昇させる","Increase physical attack power."
"21821","物理攻撃力を上昇させる","Increase physical attack power."
"21822","物理攻撃力を上昇させる","Increase physical attack power."
"21823","物理攻撃力を上昇させる","Increase physical attack power."
"21824","物理攻撃力を上昇させる","Increase physical attack power."
"21825","物理攻撃力を上昇させる","Increase physical attack power."
"21826","物理攻撃力を上昇させる","Increase physical attack power."
"21827","物理攻撃力を上昇させる","Increase physical attack power."
"21828","物理攻撃力を上昇させる","Increase physical attack power."
"21829","物理攻撃力を上昇させる","Increase physical attack power."
"21830","物理攻撃力を上昇させる","Increase physical attack power."
"21831","物理攻撃力を上昇させる","Increase physical attack power."
"21832","物理攻撃力を上昇させる","Increase physical attack power."
"21833","物理攻撃力を上昇させる","Increase physical attack power."
"21834","物理攻撃力を上昇させる","Increase physical attack power."
"21835","物理攻撃力を上昇させる","Increase physical attack power."
"21836","物理攻撃力を上昇させる","Increase physical attack power."
"21837","物理攻撃力を上昇させる","Increase physical attack power."
"21838","物理攻撃力を上昇させる","Increase physical attack power."
"21839","物理攻撃力を上昇させる","Increase physical attack power."
"21840","物理攻撃力を上昇させる","Increase physical attack power."
"21841","物理攻撃力を上昇させる","Increase physical attack power."
"21842","物理攻撃力を上昇させる","Increase physical attack power."
"21843","物理攻撃力を上昇させる","Increase physical attack power."
"21844","物理攻撃力を上昇させる","Increase physical attack power."
"21845","物理攻撃力を上昇させる","Increase physical attack power."
"21846","魔法攻撃力を上昇させる","Increase magic attack power."
"21847","魔法攻撃力を上昇させる","Increase magic attack power."
"21848","魔法攻撃力を上昇させる","Increase magic attack power."
"21849","魔法攻撃力を上昇させる","Increase magic attack power."
"21850","魔法攻撃力を上昇させる","Increase magic attack power."
"21851","魔法攻撃力を上昇させる","Increase magic attack power."
"21852","魔法攻撃力を上昇させる","Increase magic attack power."
"21853","魔法攻撃力を上昇させる","Increase magic attack power."
"21854","魔法攻撃力を上昇させる","Increase magic attack power."
"21855","魔法攻撃力を上昇させる","Increase magic attack power."
"21856","魔法攻撃力を上昇させる","Increase magic attack power."
"21857","魔法攻撃力を上昇させる","Increase magic attack power."
"21858","魔法攻撃力を上昇させる","Increase magic attack power."
"21859","魔法攻撃力を上昇させる","Increase magic attack power."
"21860","魔法攻撃力を上昇させる","Increase magic attack power."
"21861","魔法攻撃力を上昇させる","Increase magic attack power."
"21862","魔法攻撃力を上昇させる","Increase magic attack power."
"21863","魔法攻撃力を上昇させる","Increase magic attack power."
"21864","魔法攻撃力を上昇させる","Increase magic attack power."
"21865","魔法攻撃力を上昇させる","Increase magic attack power."
"21866","魔法攻撃力を上昇させる","Increase magic attack power."
"21867","魔法攻撃力を上昇させる","Increase magic attack power."
"21868","魔法攻撃力を上昇させる","Increase magic attack power."
"21869","魔法攻撃力を上昇させる","Increase magic attack power."
"21870","魔法攻撃力を上昇させる","Increase magic attack power."
"21871","魔法攻撃力を上昇させる","Increase magic attack power."
"21872","魔法攻撃力を上昇させる","Increase magic attack power."
"21873","魔法攻撃力を上昇させる","Increase magic attack power."
"21874","魔法攻撃力を上昇させる","Increase magic attack power."
"21875","魔法攻撃力を上昇させる","Increase magic attack power."
"21876","物理防御力を上昇させる","Increase physical defense power."
"21877","物理防御力を上昇させる","Increase physical defense power."
"21878","物理防御力を上昇させる","Increase physical defense power."
"21879","物理防御力を上昇させる","Increase physical defense power."
"21880","物理防御力を上昇させる","Increase physical defense power."
"21881","物理防御力を上昇させる","Increase physical defense power."
"21882","物理防御力を上昇させる","Increase physical defense power."
"21883","物理防御力を上昇させる","Increase physical defense power."
"21884","物理防御力を上昇させる","Increase physical defense power."
"21885","物理防御力を上昇させる","Increase physical defense power."
"21886","物理防御力を上昇させる","Increase physical defense power."
"21887","物理防御力を上昇させる","Increase physical defense power."
"21888","物理防御力を上昇させる","Increase physical defense power."
"21889","物理防御力を上昇させる","Increase physical defense power."
"21890","物理防御力を上昇させる","Increase physical defense power."
"21891","物理防御力を上昇させる","Increase physical defense power."
"21892","物理防御力を上昇させる","Increase physical defense power."
"21893","物理防御力を上昇させる","Increase physical defense power."
"21894","物理防御力を上昇させる","Increase physical defense power."
"21895","物理防御力を上昇させる","Increase physical defense power."
"21896","物理防御力を上昇させる","Increase physical defense power."
"21897","物理防御力を上昇させる","Increase physical defense power."
"21898","物理防御力を上昇させる","Increase physical defense power."
"21899","物理防御力を上昇させる","Increase physical defense power."
"21900","物理防御力を上昇させる","Increase physical defense power."
"21901","物理防御力を上昇させる","Increase physical defense power."
"21902","物理防御力を上昇させる","Increase physical defense power."
"21903","物理防御力を上昇させる","Increase physical defense power."
"21904","物理防御力を上昇させる","Increase physical defense power."
"21905","物理防御力を上昇させる","Increase physical defense power."
"21906","魔法防御力を上昇させる","Increase magic defense."
"21907","魔法防御力を上昇させる","Increase magic defense."
"21908","魔法防御力を上昇させる","Increase magic defense."
"21909","魔法防御力を上昇させる","Increase magic defense."
"21910","魔法防御力を上昇させる","Increase magic defense."
"21911","魔法防御力を上昇させる","Increase magic defense."
"21912","魔法防御力を上昇させる","Increase magic defense."
"21913","魔法防御力を上昇させる","Increase magic defense."
"21914","魔法防御力を上昇させる","Increase magic defense."
"21915","魔法防御力を上昇させる","Increase magic defense."
"21916","魔法防御力を上昇させる","Increase magic defense."
"21917","魔法防御力を上昇させる","Increase magic defense."
"21918","魔法防御力を上昇させる","Increase magic defense."
"21919","魔法防御力を上昇させる","Increase magic defense."
"21920","魔法防御力を上昇させる","Increase magic defense."
"21921","魔法防御力を上昇させる","Increase magic defense."
"21922","魔法防御力を上昇させる","Increase magic defense."
"21923","魔法防御力を上昇させる","Increase magic defense."
"21924","魔法防御力を上昇させる","Increase magic defense."
"21925","魔法防御力を上昇させる","Increase magic defense."
"21926","魔法防御力を上昇させる","Increase magic defense."
"21927","魔法防御力を上昇させる","Increase magic defense."
"21928","魔法防御力を上昇させる","Increase magic defense."
"21929","魔法防御力を上昇させる","Increase magic defense."
"21930","魔法防御力を上昇させる","Increase magic defense."
"21931","魔法防御力を上昇させる","Increase magic defense."
"21932","魔法防御力を上昇させる","Increase magic defense."
"21933","魔法防御力を上昇させる","Increase magic defense."
"21934","魔法防御力を上昇させる","Increase magic defense."
"21935","魔法防御力を上昇させる","Increase magic defense."
"21936","体力を上昇させる","Increase maximum HP."
"21937","体力を上昇させる","Increase maximum HP."
"21938","体力を上昇させる","Increase maximum HP."
"21939","体力を上昇させる","Increase maximum HP."
"21940","体力を上昇させる","Increase maximum HP."
"21941","体力を上昇させる","Increase maximum HP."
"21942","体力を上昇させる","Increase maximum HP."
"21943","体力を上昇させる","Increase maximum HP."
"21944","体力を上昇させる","Increase maximum HP."
"21945","体力を上昇させる","Increase maximum HP."
"21946","スタミナを上昇させる","Increase stamina."
"21947","スタミナを上昇させる","Increase stamina."
"21948","スタミナを上昇させる","Increase stamina."
